rank,passes_filters,score,threshold,edge_threshold,tp_atr,sl_atr,max_hold,risk_per_trade,max_daily_loss_pct,quality_floor,validation_pnl,validation_trades,validation_trades_per_year,validation_win_rate,validation_profit_factor,validation_drawdown_pct,validation_max_loss_streak,test_pnl,test_trades,test_trades_per_year,test_win_rate,test_profit_factor,test_drawdown_pct,test_max_loss_streak
1,True,5929.465,0.525,0.0,1.3,2.0,180,0.028,0.05,,-125.47,298,167.16,0.5101,0.9579,-0.3412,6,4461.81,261,146.05,0.7088,1.8195,-0.306,5
2,True,5929.465,0.525,0.1,1.3,2.0,180,0.028,0.05,,-125.47,298,167.16,0.5101,0.9579,-0.3412,6,4461.81,261,146.05,0.7088,1.8195,-0.306,5
3,True,5734.6687,0.525,0.0,1.3,2.0,120,0.028,0.05,,-160.56,298,167.16,0.5067,0.9456,-0.3294,6,4239.82,261,146.05,0.7088,1.8106,-0.2936,5
4,True,5734.6687,0.525,0.1,1.3,2.0,120,0.028,0.05,,-160.56,298,167.16,0.5067,0.9456,-0.3294,6,4239.82,261,146.05,0.7088,1.8106,-0.2936,5
5,False,5155.6167,0.525,0.0,1.3,1.7,180,0.028,0.05,0.4,-140.15,291,163.23,0.4845,0.9517,-0.3229,9,4123.88,223,124.78,0.5516,2.0574,-0.3194,5
6,False,5155.6167,0.525,0.1,1.3,1.7,180,0.028,0.05,0.4,-140.15,291,163.23,0.4845,0.9517,-0.3229,9,4123.88,223,124.78,0.5516,2.0574,-0.3194,5
7,False,4987.8624,0.525,0.0,1.1,2.0,180,0.028,0.05,,-286.14,303,169.96,0.5116,0.8789,-0.3776,6,3325.27,274,153.32,0.7336,1.7029,-0.286,3
8,False,4987.8624,0.525,0.1,1.1,2.0,180,0.028,0.05,,-286.14,303,169.96,0.5116,0.8789,-0.3776,6,3325.27,274,153.32,0.7336,1.7029,-0.286,3
9,False,4905.2165,0.525,0.0,1.1,2.0,120,0.028,0.05,,-312.07,305,171.08,0.5049,0.864,-0.3644,6,3229.88,274,153.32,0.7336,1.6965,-0.2797,3
10,False,4905.2165,0.525,0.1,1.1,2.0,120,0.028,0.05,,-312.07,305,171.08,0.5049,0.864,-0.3644,6,3229.88,274,153.32,0.7336,1.6965,-0.2797,3
11,False,4864.574,0.525,0.0,1.3,1.7,180,0.028,0.05,,-249.02,295,165.47,0.4983,0.9012,-0.3663,9,4710.25,243,135.97,0.679,1.6864,-0.7014,5
12,False,4864.574,0.525,0.1,1.3,1.7,180,0.028,0.05,,-249.02,295,165.47,0.4983,0.9012,-0.3663,9,4710.25,243,135.97,0.679,1.6864,-0.7014,5
13,False,4696.282,0.525,0.0,1.3,1.7,120,0.028,0.05,,-185.85,295,165.47,0.4949,0.9344,-0.3662,9,4423.49,243,135.97,0.679,1.6772,-0.6662,5
14,False,4696.282,0.525,0.1,1.3,1.7,120,0.028,0.05,,-185.85,295,165.47,0.4949,0.9344,-0.3662,9,4423.49,243,135.97,0.679,1.6772,-0.6662,5
15,False,4155.7293,0.525,0.0,1.3,1.7,180,0.028,0.05,0.5,247.0,291,163.23,0.4227,1.0753,-0.415,6,3005.02,206,115.27,0.4612,2.1622,-0.2644,3
16,False,4155.7293,0.525,0.1,1.3,1.7,180,0.028,0.05,0.5,247.0,291,163.23,0.4227,1.0753,-0.415,6,3005.02,206,115.27,0.4612,2.1622,-0.2644,3
17,False,4025.6727,0.525,0.0,1.3,1.7,120,0.028,0.05,0.4,-65.79,290,162.67,0.4793,0.9786,-0.3672,9,2992.35,223,124.78,0.5561,1.8856,-0.3034,5
18,False,4025.6727,0.525,0.1,1.3,1.7,120,0.028,0.05,0.4,-65.79,290,162.67,0.4793,0.9786,-0.3672,9,2992.35,223,124.78,0.5561,1.8856,-0.3034,5
19,False,3892.0839,0.525,0.0,1.3,1.7,120,0.028,0.05,0.5,-66.86,291,163.23,0.4124,0.9734,-0.4152,6,2841.91,206,115.27,0.4612,2.1476,-0.2536,3
20,False,3892.0839,0.525,0.1,1.3,1.7,120,0.028,0.05,0.5,-66.86,291,163.23,0.4124,0.9734,-0.4152,6,2841.91,206,115.27,0.4612,2.1476,-0.2536,3
21,False,3760.577,0.525,0.0,0.9,2.0,180,0.028,0.05,,-292.18,303,169.96,0.5116,0.8698,-0.3749,6,1894.67,280,156.68,0.75,1.554,-0.2186,3
22,False,3760.577,0.525,0.1,0.9,2.0,180,0.028,0.05,,-292.18,303,169.96,0.5116,0.8698,-0.3749,6,1894.67,280,156.68,0.75,1.554,-0.2186,3
23,False,3739.7831,0.525,0.0,0.9,2.0,120,0.028,0.05,,-297.87,303,169.96,0.5083,0.8682,-0.3675,6,1872.35,280,156.68,0.75,1.5537,-0.2186,3
24,False,3739.7831,0.525,0.1,0.9,2.0,120,0.028,0.05,,-297.87,303,169.96,0.5083,0.8682,-0.3675,6,1872.35,280,156.68,0.75,1.5537,-0.2186,3
25,False,3550.375,0.525,0.0,1.3,2.0,180,0.028,0.05,0.4,-172.17,298,167.16,0.4966,0.9391,-0.3143,5,2356.56,222,124.22,0.5631,1.8693,-0.26,5
26,False,3550.375,0.525,0.1,1.3,2.0,180,0.028,0.05,0.4,-172.17,298,167.16,0.4966,0.9391,-0.3143,5,2356.56,222,124.22,0.5631,1.8693,-0.26,5
27,False,3525.2713,0.525,0.0,1.1,1.7,180,0.028,0.05,,-261.73,298,167.16,0.5034,0.8899,-0.3899,9,3377.01,258,144.37,0.6977,1.5416,-0.7075,5
28,False,3525.2713,0.525,0.1,1.1,1.7,180,0.028,0.05,,-261.73,298,167.16,0.5034,0.8899,-0.3899,9,3377.01,258,144.37,0.6977,1.5416,-0.7075,5
29,False,3505.5378,0.525,0.0,1.3,2.0,180,0.028,0.05,0.5,80.49,292,163.79,0.4247,1.0268,-0.3762,5,2231.74,208,116.39,0.4663,2.1593,-0.2167,3
30,False,3505.5378,0.525,0.1,1.3,2.0,180,0.028,0.05,0.5,80.49,292,163.79,0.4247,1.0268,-0.3762,5,2231.74,208,116.39,0.4663,2.1593,-0.2167,3
