symbol,threshold,edge_threshold,tp_atr,sl_atr,max_hold,direction_mode,trend_min,rsi_min,rsi_max,vola_max,spread_atr_max,macd_min,total_r,trades,positive_folds,passed_folds,weighted_win_rate,mean_profit_factor,worst_fold_r,max_drawdown_r,recent_paper_r,gate,cost_multiplier,group,variant
SILVER#,0.56,0.0,5.2,5.2,216,long,0.0,0.0,100.0,1.2,0.75,-999.0,21.7352,71,5,5,0.6338,2.068,1.6995,-2.9309,3.3266,True,1.0,cost_stress,base
XAUEUR#,0.56,0.0,2.6,4.8,216,both,,,,,,,13.8091,41,3,3,0.8293,334.7143,1.7611,-2.3539,6.2837,True,1.0,cost_stress,base
SILVER#,0.56,0.0,5.2,5.2,216,long,0.0,0.0,100.0,1.2,0.75,-999.0,20.755,66,5,5,0.6515,2.3744,1.4058,-3.1878,3.2392,True,2.0,cost_stress,base
XAUEUR#,0.56,0.0,2.6,4.8,216,both,,,,,,,13.5376,41,3,3,0.8293,334.695,1.5789,-2.3818,6.2391,True,2.0,cost_stress,base
SILVER#,0.56,0.0,5.2,5.2,216,long,0.0,0.0,100.0,1.2,0.75,-999.0,16.678,62,5,5,0.6452,2.0522,1.1121,-2.9483,3.1518,True,3.0,cost_stress,base
XAUEUR#,0.56,0.0,2.6,4.8,216,both,,,,,,,13.2662,41,3,3,0.8293,334.6759,1.3968,-2.4097,6.1945,True,3.0,cost_stress,base
SILVER#,0.56,0.0,5.2,5.2,216,long,0.0,0.0,100.0,1.2,0.75,-999.0,9.3704,56,4,3,0.6071,201.1596,-3.1165,-5.9879,3.0643,False,4.0,cost_stress,base
XAUEUR#,0.56,0.0,2.6,4.8,216,both,,,,,,,12.9947,41,3,3,0.8293,334.6571,1.2146,-2.4377,6.1499,True,4.0,cost_stress,base
SILVER#,0.56,0.0,5.2,5.2,216,long,0.0,0.0,100.0,1.2,0.75,-999.0,7.6014,37,4,2,0.6216,201.0508,-2.631,-2.9526,2.9769,False,5.0,cost_stress,base
XAUEUR#,0.56,0.0,2.6,4.8,216,both,,,,,,,12.7233,41,3,3,0.8293,334.6385,1.0325,-2.4656,6.1053,True,5.0,cost_stress,base
SILVER#,0.54,0.0,4.4,5.2,216,long,0.0,0.0,100.0,1.0,0.75,-999.0,11.5878,67,5,5,0.6717,1.4544,0.9437,-4.2805,3.4601,False,3.0,neighborhood_3x,variant_1
