symbol,base_timeframe,fold,candidate,train_start,train_end,test_start,test_end,threshold,edge_threshold,tp_atr,sl_atr,max_hold,direction_mode,test_pnl_r,test_trades,test_win_rate,test_profit_factor,test_max_drawdown_r,test_avg_r,test_max_loss_streak,fold_pass
XPTUSD#,H1,fold_1,xpt_best,2021-02-01T02:00:00,2023-12-26T07:00:00,2023-12-26T08:00:00,2024-07-24T23:00:00,0.54,0.0,2.0,3.0,48,long,0.9228,36,0.6111,1.0585,-5.7075,0.0256,3,False
XPTUSD#,H1,fold_1,xpt_wide_sl,2021-02-01T02:00:00,2023-12-26T07:00:00,2023-12-26T08:00:00,2024-07-24T23:00:00,0.54,0.0,2.0,3.4,48,long,0.1284,36,0.6111,1.0088,-5.4778,0.0036,3,False
XPTUSD#,H1,fold_1,xpt_long_hold,2021-02-01T02:00:00,2023-12-26T07:00:00,2023-12-26T08:00:00,2024-07-24T23:00:00,0.54,0.0,2.0,3.0,120,long,-3.0443,36,0.5556,0.839,-8.1752,-0.0846,3,False
XPTUSD#,H1,fold_2,xpt_best,2021-08-31T01:00:00,2024-07-24T23:00:00,2024-07-25T01:00:00,2025-02-24T08:00:00,0.54,0.0,2.0,3.0,48,long,-9.2726,46,0.6087,0.6221,-9.8042,-0.2016,2,False
XPTUSD#,H1,fold_2,xpt_wide_sl,2021-08-31T01:00:00,2024-07-24T23:00:00,2024-07-25T01:00:00,2025-02-24T08:00:00,0.54,0.0,2.0,3.4,48,long,-5.0982,39,0.641,0.6948,-6.8967,-0.1307,2,False
XPTUSD#,H1,fold_2,xpt_long_hold,2021-08-31T01:00:00,2024-07-24T23:00:00,2024-07-25T01:00:00,2025-02-24T08:00:00,0.54,0.0,2.0,3.0,120,long,-9.9623,46,0.6087,0.605,-10.4661,-0.2166,2,False
XPTUSD#,H1,fold_3,xpt_best,2022-03-30T02:00:00,2025-02-24T08:00:00,2025-02-24T09:00:00,2025-09-22T20:00:00,0.54,0.0,2.0,3.0,48,long,1.6163,35,0.6571,1.1248,-4.9866,0.0462,2,False
XPTUSD#,H1,fold_3,xpt_wide_sl,2022-03-30T02:00:00,2025-02-24T08:00:00,2025-02-24T09:00:00,2025-09-22T20:00:00,0.54,0.0,2.0,3.4,48,long,3.7456,36,0.7222,1.3709,-3.7683,0.104,1,True
XPTUSD#,H1,fold_3,xpt_long_hold,2022-03-30T02:00:00,2025-02-24T08:00:00,2025-02-24T09:00:00,2025-09-22T20:00:00,0.54,0.0,2.0,3.0,120,long,1.5889,35,0.6857,1.1113,-4.9866,0.0454,2,False
XPTUSD#,H1,fold_4,xpt_best,2022-10-26T21:00:00,2025-09-22T20:00:00,2025-09-22T21:00:00,2026-05-14T04:00:00,0.54,0.0,2.0,3.0,48,long,3.4016,161,0.6211,1.0477,-15.1491,0.0211,3,False
XPTUSD#,H1,fold_4,xpt_wide_sl,2022-10-26T21:00:00,2025-09-22T20:00:00,2025-09-22T21:00:00,2026-05-14T04:00:00,0.54,0.0,2.0,3.4,48,long,5.8538,151,0.6556,1.1004,-11.6683,0.0388,4,False
XPTUSD#,H1,fold_4,xpt_long_hold,2022-10-26T21:00:00,2025-09-22T20:00:00,2025-09-22T21:00:00,2026-05-14T04:00:00,0.54,0.0,2.0,3.0,120,long,3.9451,149,0.6174,1.058,-14.768,0.0265,3,False
SILVER#,H1,fold_1,silver_best,2014-12-24T00:00:00,2022-08-26T07:00:00,2022-08-26T08:00:00,2023-07-24T19:00:00,0.6,0.0,2.0,3.4,120,long,12.9883,40,0.775,2.219,-3.4621,0.3247,2,True
SILVER#,H1,fold_1,silver_optimized,2014-12-24T00:00:00,2022-08-26T07:00:00,2022-08-26T08:00:00,2023-07-24T19:00:00,0.56,0.0,2.4,2.8,72,long,14.3019,66,0.6515,1.4829,-9.2101,0.2167,2,True
SILVER#,H1,fold_2,silver_best,2019-01-10T12:00:00,2023-07-24T19:00:00,2023-07-24T20:00:00,2024-06-19T04:00:00,0.6,0.0,2.0,3.4,120,long,1.8684,29,0.7241,1.1615,-3.2003,0.0644,2,True
SILVER#,H1,fold_2,silver_optimized,2019-01-10T12:00:00,2023-07-24T19:00:00,2023-07-24T20:00:00,2024-06-19T04:00:00,0.56,0.0,2.4,2.8,72,long,4.1258,50,0.62,1.1488,-9.8853,0.0825,3,False
SILVER#,H1,fold_3,silver_best,2019-12-05T10:00:00,2024-06-19T04:00:00,2024-06-19T05:00:00,2025-05-16T11:00:00,0.6,0.0,2.0,3.4,120,long,-1.2359,7,0.4286,0.6378,-3.4123,-0.1766,4,False
SILVER#,H1,fold_3,silver_optimized,2019-12-05T10:00:00,2024-06-19T04:00:00,2024-06-19T05:00:00,2025-05-16T11:00:00,0.56,0.0,2.4,2.8,72,long,1.0106,19,0.5789,1.1115,-5.7195,0.0532,4,False
SILVER#,H1,fold_4,silver_best,2020-11-03T05:00:00,2025-05-16T11:00:00,2025-05-16T12:00:00,2026-05-14T04:00:00,0.6,0.0,2.0,3.4,120,long,3.2804,43,0.6744,1.1838,-4.5268,0.0763,3,True
SILVER#,H1,fold_4,silver_optimized,2020-11-03T05:00:00,2025-05-16T11:00:00,2025-05-16T12:00:00,2026-05-14T04:00:00,0.56,0.0,2.4,2.8,72,long,5.993,51,0.5686,1.2518,-6.4383,0.1175,4,True
