symbol,timeframe,status,bars,digits,mean_atr,current_spread_price,spread_atr,verdict
GOLD#,M1,ok,20000,2,1.896709,0.3,0.1582,usable
GOLD#,M5,ok,20000,2,5.275814,0.3,0.0569,strong
GOLD#,M15,ok,20000,2,12.054409,0.3,0.0249,strong
GOLD#,M30,ok,20000,2,19.198036,0.3,0.0156,strong
GOLD#,H1,ok,20000,2,20.423945,0.3,0.0147,strong
SILVER#,M1,ok,20000,3,0.068092,0.051,0.749,research_only
SILVER#,M5,ok,20000,3,0.209298,0.051,0.2437,usable
SILVER#,M15,ok,20000,3,0.398128,0.051,0.1281,strong
SILVER#,M30,ok,20000,3,0.785746,0.051,0.0649,strong
SILVER#,H1,ok,20000,3,0.709668,0.051,0.0719,strong
XAUEUR#,M1,ok,20000,2,1.549171,0.57,0.3679,research_only
XAUEUR#,M5,ok,20000,2,4.190455,0.57,0.136,strong
XAUEUR#,M15,ok,20000,2,9.575547,0.57,0.0595,strong
XAUEUR#,M30,ok,20000,2,15.51449,0.57,0.0367,strong
XAUEUR#,H1,ok,20000,2,16.676513,0.57,0.0342,strong
GAUUSD#,M1,ok,20000,3,0.061477,0.034,0.5531,research_only
GAUUSD#,M5,ok,20000,3,0.170077,0.034,0.1999,usable
GAUUSD#,M15,ok,16249,3,0.388231,0.034,0.0876,strong
GAUUSD#,M30,ok,8126,3,0.618337,0.034,0.055,strong
GAUUSD#,H1,ok,4066,3,0.750005,0.034,0.0453,strong
XPTUSD#,M1,ok,20000,2,1.267247,3.75,2.9592,too_expensive
XPTUSD#,M5,ok,20000,2,4.043018,3.75,0.9275,too_expensive
XPTUSD#,M15,ok,20000,2,8.99219,3.75,0.417,research_only
XPTUSD#,M30,ok,20000,2,18.588573,3.75,0.2017,usable
XPTUSD#,H1,ok,20000,2,18.798625,3.75,0.1995,usable
XPDUSD#,M1,ok,20000,2,0.894982,4.6,5.1398,too_expensive
XPDUSD#,M5,ok,20000,2,3.059635,4.6,1.5034,too_expensive
XPDUSD#,M15,ok,20000,2,6.628092,4.6,0.694,research_only
XPDUSD#,M30,ok,20000,2,13.995993,4.6,0.3287,usable
XPDUSD#,H1,ok,20000,2,16.039626,4.6,0.2868,usable
