symbol,base_timeframe,fold,spread_multiplier,test_start,test_end,threshold,edge_threshold,tp_atr,sl_atr,max_hold,direction_mode,test_pnl_r,test_trades,test_win_rate,test_profit_factor,test_max_drawdown_r,test_avg_r,test_max_loss_streak,fold_pass
SILVER#,H1,fold_1,1.0,2022-08-26T08:00:00,2023-07-24T19:00:00,0.54,0.0,2.6,2.8,72,long,14.8534,76,0.6316,1.4216,-6.8994,0.1954,3,True
SILVER#,H1,fold_1,1.5,2022-08-26T08:00:00,2023-07-24T19:00:00,0.54,0.0,2.6,2.8,72,long,12.4317,76,0.6316,1.3444,-7.4012,0.1636,3,True
SILVER#,H1,fold_1,2.0,2022-08-26T08:00:00,2023-07-24T19:00:00,0.54,0.0,2.6,2.8,72,long,10.01,76,0.6316,1.2709,-7.903,0.1317,3,True
SILVER#,H1,fold_1,3.0,2022-08-26T08:00:00,2023-07-24T19:00:00,0.54,0.0,2.6,2.8,72,long,5.1666,76,0.6316,1.1336,-8.9065,0.068,3,False
SILVER#,H1,fold_2,1.0,2023-07-24T20:00:00,2024-06-19T04:00:00,0.54,0.0,2.6,2.8,72,long,6.7182,54,0.5926,1.2217,-9.4261,0.1244,4,True
SILVER#,H1,fold_2,1.5,2023-07-24T20:00:00,2024-06-19T04:00:00,0.54,0.0,2.6,2.8,72,long,4.4446,54,0.5926,1.1421,-10.8306,0.0823,4,False
SILVER#,H1,fold_2,2.0,2023-07-24T20:00:00,2024-06-19T04:00:00,0.54,0.0,2.6,2.8,72,long,2.171,54,0.5926,1.0673,-12.2352,0.0402,4,False
SILVER#,H1,fold_2,3.0,2023-07-24T20:00:00,2024-06-19T04:00:00,0.54,0.0,2.6,2.8,72,long,-2.3761,54,0.5926,0.9305,-15.1736,-0.044,4,False
SILVER#,H1,fold_3,1.0,2024-06-19T05:00:00,2025-05-16T11:00:00,0.54,0.0,2.6,2.8,72,long,7.0653,25,0.68,1.796,-4.3872,0.2826,3,True
SILVER#,H1,fold_3,1.5,2024-06-19T05:00:00,2025-05-16T11:00:00,0.54,0.0,2.6,2.8,72,long,6.54,25,0.68,1.7232,-4.6575,0.2616,3,True
SILVER#,H1,fold_3,2.0,2024-06-19T05:00:00,2025-05-16T11:00:00,0.54,0.0,2.6,2.8,72,long,6.0146,25,0.68,1.653,-4.9278,0.2406,3,True
SILVER#,H1,fold_3,3.0,2024-06-19T05:00:00,2025-05-16T11:00:00,0.54,0.0,2.6,2.8,72,long,4.9639,25,0.68,1.5201,-5.4685,0.1986,3,True
SILVER#,H1,fold_4,1.0,2025-05-16T12:00:00,2026-05-14T04:00:00,0.54,0.0,2.6,2.8,72,long,9.6668,50,0.58,1.4361,-6.3282,0.1933,4,True
SILVER#,H1,fold_4,1.5,2025-05-16T12:00:00,2026-05-14T04:00:00,0.54,0.0,2.6,2.8,72,long,9.2948,50,0.58,1.4165,-6.3767,0.1859,4,True
SILVER#,H1,fold_4,2.0,2025-05-16T12:00:00,2026-05-14T04:00:00,0.54,0.0,2.6,2.8,72,long,8.9227,50,0.58,1.3972,-6.4253,0.1785,4,True
SILVER#,H1,fold_4,3.0,2025-05-16T12:00:00,2026-05-14T04:00:00,0.54,0.0,2.6,2.8,72,long,8.1787,50,0.58,1.3594,-6.5223,0.1636,4,True
