symbol,fold,cost,test_start,test_end,pnl_r,trades,win_rate,profit_factor,max_drawdown_r,avg_r,max_loss_streak,fold_pass
SILVER#,fold_1,1.0x,2022-03-30T07:00:00,2023-01-25T12:00:00,-5.4715,82,0.5366,0.8682,-12.7892,-0.0667,4,False
SILVER#,fold_1,2.0x,2022-03-30T07:00:00,2023-01-25T12:00:00,-8.9399,82,0.5366,0.7929,-15.289,-0.109,4,False
SILVER#,fold_1,3.0x,2022-03-30T07:00:00,2023-01-25T12:00:00,-12.4084,82,0.5366,0.7231,-17.9982,-0.1513,4,False
SILVER#,fold_2,1.0x,2023-01-25T13:00:00,2023-11-20T13:00:00,16.1971,26,0.8462,4.461,-1.2871,0.623,1,True
SILVER#,fold_2,2.0x,2023-01-25T13:00:00,2023-11-20T13:00:00,14.6878,26,0.8462,3.9787,-1.3771,0.5649,1,True
SILVER#,fold_2,3.0x,2023-01-25T13:00:00,2023-11-20T13:00:00,13.1786,26,0.8462,3.5432,-1.4671,0.5069,1,True
SILVER#,fold_3,1.0x,2023-11-20T14:00:00,2024-09-16T22:00:00,1.8125,20,0.7,1.2247,-4.7138,0.0906,3,True
SILVER#,fold_3,2.0x,2023-11-20T14:00:00,2024-09-16T22:00:00,1.0492,20,0.7,1.1251,-5.0136,0.0525,3,False
SILVER#,fold_3,3.0x,2023-11-20T14:00:00,2024-09-16T22:00:00,0.2859,20,0.7,1.0328,-5.3135,0.0143,3,False
SILVER#,fold_4,1.0x,2024-09-16T23:00:00,2025-07-16T03:00:00,1.6806,16,0.625,1.2725,-2.4869,0.105,2,True
SILVER#,fold_4,2.0x,2024-09-16T23:00:00,2025-07-16T03:00:00,1.264,16,0.625,1.1998,-2.5873,0.079,2,True
SILVER#,fold_4,3.0x,2024-09-16T23:00:00,2025-07-16T03:00:00,0.8475,16,0.625,1.1307,-2.708,0.053,2,False
SILVER#,fold_5,1.0x,2025-07-16T04:00:00,2026-05-14T04:00:00,2.7292,32,0.6562,1.1871,-3.5301,0.0853,3,True
SILVER#,fold_5,2.0x,2025-07-16T04:00:00,2026-05-14T04:00:00,2.4183,32,0.6562,1.1644,-3.5746,0.0756,3,True
SILVER#,fold_5,3.0x,2025-07-16T04:00:00,2026-05-14T04:00:00,2.1074,32,0.6562,1.1421,-3.6192,0.0659,3,False
XAUEUR#,fold_1,1.0x,2022-06-20T18:00:00,2023-10-05T14:00:00,-1.3868,20,0.5,0.8727,-3.8099,-0.0693,3,False
XAUEUR#,fold_1,2.0x,2022-06-20T18:00:00,2023-10-05T14:00:00,-1.7071,20,0.5,0.8457,-3.8757,-0.0854,3,False
XAUEUR#,fold_1,3.0x,2022-06-20T18:00:00,2023-10-05T14:00:00,-2.0275,20,0.5,0.8194,-3.9415,-0.1014,3,False
XAUEUR#,fold_2,1.0x,2023-10-05T15:00:00,2025-01-23T21:00:00,7.6714,9,1.0,999.0,0.0,0.8524,0,True
XAUEUR#,fold_2,2.0x,2023-10-05T15:00:00,2025-01-23T21:00:00,7.6079,9,1.0,999.0,0.0,0.8453,0,True
XAUEUR#,fold_2,3.0x,2023-10-05T15:00:00,2025-01-23T21:00:00,7.5445,9,1.0,999.0,0.0,0.8383,0,True
XAUEUR#,fold_3,1.0x,2025-01-23T22:00:00,2026-05-14T04:00:00,7.1699,16,0.8125,3.2589,-1.2344,0.4481,1,True
XAUEUR#,fold_3,2.0x,2025-01-23T22:00:00,2026-05-14T04:00:00,7.1065,16,0.8125,3.2338,-1.241,0.4442,1,True
XAUEUR#,fold_3,3.0x,2025-01-23T22:00:00,2026-05-14T04:00:00,7.043,16,0.8125,3.2088,-1.2477,0.4402,1,True
