fold,candidate,train_start,train_end,test_start,test_end,threshold,edge_threshold,tp_atr,sl_atr,max_hold,direction_mode,test_pnl_r,test_trades,test_win_rate,test_profit_factor,test_max_drawdown_r,test_avg_r,test_max_loss_streak,fold_pass
fold_1,cost_best,2023-04-18T21:10:00,2024-12-31T08:35:00,2024-12-31T08:40:00,2025-05-06T17:50:00,0.63,0.05,1.4,2.2,180,both,-10.7028,160,0.5813,0.8698,-19.5363,-0.0669,7,False
fold_1,robust_raw,2023-04-18T21:10:00,2024-12-31T08:35:00,2024-12-31T08:40:00,2025-05-06T17:50:00,0.63,0.1,1.4,2.5,240,both,-6.3065,156,0.6154,0.9117,-14.3117,-0.0404,4,False
fold_1,high_score_raw,2023-04-18T21:10:00,2024-12-31T08:35:00,2024-12-31T08:40:00,2025-05-06T17:50:00,0.63,0.05,1.5,2.2,240,both,-9.6707,156,0.5705,0.8829,-18.6857,-0.062,7,False
fold_2,cost_best,2023-08-18T21:25:00,2025-05-06T17:50:00,2025-05-06T17:55:00,2025-09-05T22:15:00,0.63,0.05,1.4,2.2,180,both,-12.163,218,0.6055,0.8887,-24.7578,-0.0558,4,False
fold_2,robust_raw,2023-08-18T21:25:00,2025-05-06T17:50:00,2025-05-06T17:55:00,2025-09-05T22:15:00,0.63,0.1,1.4,2.5,240,both,-9.2738,198,0.6313,0.8991,-23.1151,-0.0468,4,False
fold_2,high_score_raw,2023-08-18T21:25:00,2025-05-06T17:50:00,2025-05-06T17:55:00,2025-09-05T22:15:00,0.63,0.05,1.5,2.2,240,both,-6.9214,211,0.6066,0.9353,-21.9759,-0.0328,4,False
fold_3,cost_best,2023-12-20T22:25:00,2025-09-05T22:15:00,2025-09-05T22:20:00,2026-01-12T19:40:00,0.63,0.05,1.4,2.2,180,both,3.1444,158,0.6076,1.0419,-11.9194,0.0199,4,False
fold_3,robust_raw,2023-12-20T22:25:00,2025-09-05T22:15:00,2025-09-05T22:20:00,2026-01-12T19:40:00,0.63,0.1,1.4,2.5,240,both,6.4587,150,0.6333,1.1035,-10.9991,0.0431,5,False
fold_3,high_score_raw,2023-12-20T22:25:00,2025-09-05T22:15:00,2025-09-05T22:20:00,2026-01-12T19:40:00,0.63,0.05,1.5,2.2,240,both,0.9763,153,0.5882,1.0126,-12.9442,0.0064,6,False
fold_4,cost_best,2024-04-25T20:20:00,2026-01-12T19:40:00,2026-01-12T19:45:00,2026-05-27T19:25:00,0.63,0.05,1.4,2.2,180,both,-15.1996,489,0.5869,0.9403,-30.2298,-0.0311,6,False
fold_4,robust_raw,2024-04-25T20:20:00,2026-01-12T19:40:00,2026-01-12T19:45:00,2026-05-27T19:25:00,0.63,0.1,1.4,2.5,240,both,-4.9334,453,0.6269,0.9768,-22.4573,-0.0109,5,False
fold_4,high_score_raw,2024-04-25T20:20:00,2026-01-12T19:40:00,2026-01-12T19:45:00,2026-05-27T19:25:00,0.63,0.05,1.5,2.2,240,both,-14.7676,473,0.5793,0.9409,-28.3123,-0.0312,6,False
