candidate_id,parameters,fold,threshold,rsi_policy,raw_qualifying_rows,independent_signal_episodes,eligible_signal_episodes,executable_trades,trades_per_day,robust_trades_per_day,frequency_uplift,wins,losses,tp_first_wr,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl,max_dd,tp_count,sl_count,timeout_count,observed_spread_trades,fallback_spread_trades,nominal_cost_result,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl,cost_stress_result,qualification_verdict
T0_R0,"{""threshold"":0.75,""rsi_policy"":""exclude 35–45""}",2018_2020,0.75,R0,6463,786,418,189,0.17244525547445255,0.0,0.0,48,141,0.15873015873015872,0.25396825396825395,1.042305571708541,-0.9525936809640492,1.0941764495579072,0.4775146813493704,-0.22354642738111646,0.3724855998495003,-0.4459526009202168,-84.28504157392098,-88.41767778745977,30,118,41,108,81,FAIL,0.3317889489080831,-0.503834191954422,-95.22466227938577,FAIL,CATASTROPHIC
T0_R0,"{""threshold"":0.75,""rsi_policy"":""exclude 35–45""}",2021_2022,0.75,R0,0,0,0,0,0.0,0.0,,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,FAIL,0.0,0.0,0.0,FAIL,CATASTROPHIC
T0_R0,"{""threshold"":0.75,""rsi_policy"":""exclude 35–45""}",2023_2024,0.75,R0,0,0,0,0,0.0,0.0,,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,FAIL,0.0,0.0,0.0,FAIL,CATASTROPHIC
T0_R0,"{""threshold"":0.75,""rsi_policy"":""exclude 35–45""}",pooled,0.75,R0,6463,786,418,189,0.07391474384043802,0.0,0.0,48,141,0.15873015873015872,0.25396825396825395,1.042305571708541,-0.9525936809640492,1.0941764495579072,0.4775146813493704,-0.22354642738111646,0.3724855998495003,-0.4459526009202168,-84.28504157392098,-88.41767778745977,30,118,41,108,81,FAIL,0.3317889489080831,-0.503834191954422,-95.22466227938577,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T0_R1,"{""threshold"":0.75,""rsi_policy"":""no 35–45 exclusion""}",2018_2020,0.75,R1,6463,786,550,214,0.19525547445255476,0.0,0.13227513227513232,55,159,0.17289719626168223,0.2570093457943925,1.0818635429002408,-0.9468209079190611,1.1426274323387922,0.4667166978761429,-0.2097073520817504,0.3952484828844879,-0.4254300443907359,-91.04202949961748,-96.74149372778378,37,132,45,117,97,FAIL,0.3527364668064315,-0.48320449462559173,-103.40576184987663,FAIL,CATASTROPHIC
T0_R1,"{""threshold"":0.75,""rsi_policy"":""no 35–45 exclusion""}",2021_2022,0.75,R1,0,0,0,0,0.0,0.0,,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,FAIL,0.0,0.0,0.0,FAIL,CATASTROPHIC
T0_R1,"{""threshold"":0.75,""rsi_policy"":""no 35–45 exclusion""}",2023_2024,0.75,R1,0,0,0,0,0.0,0.0,,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,FAIL,0.0,0.0,0.0,FAIL,CATASTROPHIC
T0_R1,"{""threshold"":0.75,""rsi_policy"":""no 35–45 exclusion""}",pooled,0.75,R1,6463,786,550,214,0.08369182635901447,0.0,0.1322751322751321,55,159,0.17289719626168223,0.2570093457943925,1.0818635429002408,-0.9468209079190611,1.1426274323387922,0.4667166978761429,-0.2097073520817504,0.3952484828844879,-0.4254300443907359,-91.04202949961748,-96.74149372778378,37,132,45,117,97,FAIL,0.3527364668064315,-0.48320449462559173,-103.40576184987663,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T0_R2,"{""threshold"":0.75,""rsi_policy"":""exclude 38–42""}",2018_2020,0.75,R2,6463,786,494,203,0.1852189781021898,0.0,0.07407407407407418,53,150,0.16748768472906403,0.26108374384236455,1.0577149061126143,-0.9605787011262324,1.1011225887816316,0.475936056915111,-0.21485231307274644,0.3890633147028432,-0.43363504997520336,-88.02791514496629,-93.72305135850509,34,126,43,111,92,FAIL,0.3470628000919468,-0.49140636871690546,-99.7554928495318,FAIL,CATASTROPHIC
T0_R2,"{""threshold"":0.75,""rsi_policy"":""exclude 38–42""}",2021_2022,0.75,R2,0,0,0,0,0.0,0.0,,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,FAIL,0.0,0.0,0.0,FAIL,CATASTROPHIC
T0_R2,"{""threshold"":0.75,""rsi_policy"":""exclude 38–42""}",2023_2024,0.75,R2,0,0,0,0,0.0,0.0,,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,0,FAIL,0.0,0.0,0.0,FAIL,CATASTROPHIC
T0_R2,"{""threshold"":0.75,""rsi_policy"":""exclude 38–42""}",pooled,0.75,R2,6463,786,494,203,0.07938991005084083,0.0,0.07407407407407396,53,150,0.16748768472906403,0.26108374384236455,1.0577149061126143,-0.9605787011262324,1.1011225887816316,0.475936056915111,-0.21485231307274644,0.3890633147028432,-0.43363504997520336,-88.02791514496629,-93.72305135850509,34,126,43,111,92,FAIL,0.3470628000919468,-0.49140636871690546,-99.7554928495318,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
