scheme,fold,observations,predicted_mean,observed_positive_label_rate,brier,ece_10_equal_width,ge_075_observations,ge_075_predicted_mean,ge_075_observed_positive_label_rate
W0_expanding,2018_2020,1058080,0.4570840043548546,0.19356948434900953,0.23108611219697867,0.2635145200058451,6463,0.7644282846411703,0.35277734798081384
W0_expanding,2021_2022,708197,0.41963313712749,0.13721182100460746,0.20198586282921246,0.28242131612288257,0,,
W0_expanding,2023_2024,708020,0.41441774831057243,0.14442106155193357,0.19754306649246994,0.26999668675863886,0,,
W0_expanding,pooled,2474297,0.43415581326773345,0.16337488991822727,0.21315865380325708,0.2707809233495062,6463,0.7644282846411703,0.35277734798081384
W1_trailing_24m,2018_2020,1058080,0.44995068973846075,0.19356948434900953,0.23343611120336275,0.25656947091732113,21041,0.7788179307817693,0.3225607147949242
W1_trailing_24m,2021_2022,708197,0.4361656461223405,0.13721182100460746,0.2119936358370575,0.29895382511773294,1141,0.775380405650444,0.09903593339176162
W1_trailing_24m,2023_2024,708020,0.467849540151461,0.14442106155193357,0.2305846421601336,0.3234284785995274,589,0.7652915146435866,0.24787775891341257
W1_trailing_24m,pooled,2474297,0.45112686928990786,0.16337488991822727,0.22648286596280418,0.2878324870834584,22771,0.7782958072351428,0.30942865925958457
W2_trailing_18m,2018_2020,1058080,0.4357188706568796,0.19356948434900953,0.2282228110491904,0.24351796904259046,18449,0.7790660222821575,0.3179576128787468
W2_trailing_18m,2021_2022,708197,0.46996166453443594,0.13721182100460746,0.23390091503825974,0.3327498435298285,2996,0.7810275780263348,0.17156208277703605
W2_trailing_18m,2023_2024,708020,0.45518451237778035,0.14442106155193357,0.22265720723395147,0.3107634508258468,758,0.7716330294558744,0.3403693931398417
W2_trailing_18m,pooled,2474297,0.4510899871990473,0.16337488991822727,0.22825540915583703,0.28810561726883,22203,0.7790769492941483,0.2989686078457866
W3_trailing_12m,2018_2020,1058080,0.44011252354134794,0.19356948434900953,0.23168770113635478,0.24827707028564286,13443,0.7804393769773728,0.3037268466860076
W3_trailing_12m,2021_2022,708197,0.48303117087929814,0.13721182100460746,0.24441760574172058,0.3458384037314016,2882,0.7767405542418991,0.1554476058292852
W3_trailing_12m,2023_2024,708020,0.44335440119733127,0.14442106155193357,0.2182733677714704,0.2989333396453977,1649,0.776142040767982,0.19284414796846575
W3_trailing_12m,pooled,2474297,0.45332442635931347,0.16337488991822727,0.23149276251047474,0.29001610293559615,17974,0.779452044467474,0.2697785690441749
