scheme,fold,bucket_low,bucket_high,observations,independent_episodes,executable_trades,realized_wr,mean_r,pf,average_realized_r
W0_expanding,2018_2020,0.5,0.55,122818,22072,4894,0.34940743767879034,-0.27631260231604465,0.5855317102095063,-0.27631260231604465
W0_expanding,2021_2022,0.5,0.55,65224,12697,2962,0.3193787981093856,-0.3363055971484365,0.5252285591365161,-0.3363055971484365
W0_expanding,2023_2024,0.5,0.55,63438,11112,2780,0.38273381294964026,-0.2144600991911339,0.667658026311819,-0.2144600991911339
W0_expanding,pooled,0.5,0.55,251480,45881,10636,0.3497555471981948,-0.2768531525234809,0.5884395131665505,-0.2768531525234809
W0_expanding,2018_2020,0.55,0.6,102543,17716,3733,0.331904634342352,-0.3009307713881547,0.556887456655962,-0.3009307713881547
W0_expanding,2021_2022,0.55,0.6,42190,7926,1886,0.3022269353128314,-0.3398359749234535,0.529701977214602,-0.3398359749234535
W0_expanding,2023_2024,0.55,0.6,32100,5860,1488,0.37163978494623656,-0.22632254199449767,0.653634467113614,-0.22632254199449767
W0_expanding,pooled,0.55,0.6,176833,31502,7107,0.3323483889123399,-0.2956343268306497,0.5685946116488958,-0.2956343268306497
W0_expanding,2018_2020,0.6,0.65,80716,13349,2444,0.33469721767594107,-0.2854744749142786,0.5706446050172752,-0.2854744749142786
W0_expanding,2021_2022,0.6,0.65,23875,4244,1032,0.29844961240310075,-0.3408988140050065,0.530990175151916,-0.3408988140050065
W0_expanding,2023_2024,0.6,0.65,16961,2723,723,0.37621023513139695,-0.19072207532267743,0.704689589940536,-0.19072207532267743
W0_expanding,pooled,0.6,0.65,121552,20316,4199,0.3329364134317695,-0.28278143681875667,0.5822017325696834,-0.28278143681875667
W0_expanding,2018_2020,0.65,0.7,65344,9338,1630,0.3147239263803681,-0.33045318426597814,0.5115360225873037,-0.33045318426597814
W0_expanding,2021_2022,0.65,0.7,7435,1349,368,0.28532608695652173,-0.37512826747399947,0.49925479705579917,-0.37512826747399947
W0_expanding,2023_2024,0.65,0.7,6089,888,267,0.41198501872659177,-0.09791454526269383,0.8401372825727321,-0.09791454526269383
W0_expanding,pooled,0.65,0.7,78868,11575,2265,0.32141280353200885,-0.3102998129664969,0.5441911241581325,-0.3102998129664969
W0_expanding,2018_2020,0.7,0.75,32939,4327,884,0.3042986425339366,-0.3541295205783269,0.47862947895032354,-0.3541295205783269
W0_expanding,2021_2022,0.7,0.75,311,112,36,0.19444444444444445,-0.5541369533582021,0.3388417017589253,-0.5541369533582021
W0_expanding,2023_2024,0.7,0.75,632,117,40,0.4,-0.03567720920337358,0.9431461785646484,-0.03567720920337358
W0_expanding,pooled,0.7,0.75,33882,4556,960,0.30416666666666664,-0.3483609530002826,0.48997908238734467,-0.3483609530002826
W0_expanding,2018_2020,0.75,0.8,6422,801,191,0.2513089005235602,-0.45238136498999393,0.36669828931289283,-0.45238136498999393
W0_expanding,2021_2022,0.75,0.8,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2023_2024,0.75,0.8,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,pooled,0.75,0.8,6422,801,191,0.2513089005235602,-0.45238136498999393,0.36669828931289283,-0.45238136498999393
W0_expanding,2018_2020,0.8,0.85,41,15,6,0.16666666666666666,-0.8063530302541192,0.08608088033913369,-0.8063530302541192
W0_expanding,2021_2022,0.8,0.85,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2023_2024,0.8,0.85,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,pooled,0.8,0.85,41,15,6,0.16666666666666666,-0.8063530302541192,0.08608088033913369,-0.8063530302541192
W0_expanding,2018_2020,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2021_2022,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2023_2024,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,pooled,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2018_2020,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2021_2022,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,2023_2024,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W0_expanding,pooled,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W1_trailing_24m,2018_2020,0.5,0.55,118049,24583,5043,0.3428514772952608,-0.30116336057178544,0.5551488621064194,-0.30116336057178544
W1_trailing_24m,2021_2022,0.5,0.55,85774,20622,4126,0.35336888027144936,-0.2743366819377457,0.5915959357326942,-0.2743366819377457
W1_trailing_24m,2023_2024,0.5,0.55,135609,25791,6361,0.4115705077817953,-0.17670481069930852,0.7117066067604343,-0.17670481069930852
W1_trailing_24m,pooled,0.5,0.55,339432,70996,15530,0.3737926593689633,-0.2430585497679945,0.6256939421297919,-0.2430585497679945
W1_trailing_24m,2018_2020,0.55,0.6,102386,21003,4156,0.32940327237728584,-0.3083500917130535,0.5495537181507889,-0.3083500917130535
W1_trailing_24m,2021_2022,0.55,0.6,49909,12556,2591,0.3492859899652644,-0.273094641644492,0.5966842373508218,-0.273094641644492
W1_trailing_24m,2023_2024,0.55,0.6,95291,19379,5211,0.42794089426213777,-0.14670268789956978,0.7534245268100431,-0.14670268789956978
W1_trailing_24m,pooled,0.55,0.6,247586,52938,11958,0.37665161398227126,-0.23026918417001063,0.6423824047136297,-0.23026918417001063
W1_trailing_24m,2018_2020,0.6,0.65,84844,16295,2976,0.3289650537634409,-0.2905298656190388,0.5684544415515269,-0.2905298656190388
W1_trailing_24m,2021_2022,0.6,0.65,26401,6651,1378,0.32365747460087085,-0.3089272840634969,0.5598778352054421,-0.3089272840634969
W1_trailing_24m,2023_2024,0.6,0.65,38052,9175,2508,0.4222488038277512,-0.15787946911885162,0.7370641156506429,-0.15787946911885162
W1_trailing_24m,pooled,0.6,0.65,149297,32121,6862,0.36199358787525504,-0.24574182251119764,0.6233203321917381,-0.24574182251119764
W1_trailing_24m,2018_2020,0.65,0.7,60476,11074,1934,0.32419855222337124,-0.3164872227804347,0.5276233043463333,-0.3164872227804347
W1_trailing_24m,2021_2022,0.65,0.7,11937,2903,662,0.3202416918429003,-0.3057417958245883,0.5555542319165611,-0.3057417958245883
W1_trailing_24m,2023_2024,0.65,0.7,13261,3267,803,0.46201743462017436,-0.060312987899647626,0.8918678551252417,-0.060312987899647626
W1_trailing_24m,pooled,0.65,0.7,85674,17244,3399,0.3559870550161812,-0.2538742827233466,0.6075948070722694,-0.2538742827233466
W1_trailing_24m,2018_2020,0.7,0.75,37434,6651,1154,0.3050259965337955,-0.36147597253042796,0.4670197571393262,-0.36147597253042796
W1_trailing_24m,2021_2022,0.7,0.75,3866,940,260,0.3153846153846154,-0.32840484291494526,0.5272914852270676,-0.32840484291494526
W1_trailing_24m,2023_2024,0.7,0.75,3545,904,209,0.45454545454545453,-0.11513810225871872,0.7921670927803365,-0.11513810225871872
W1_trailing_24m,pooled,0.7,0.75,44845,8495,1623,0.325939617991374,-0.3244561890511841,0.51199706567667,-0.3244561890511841
W1_trailing_24m,2018_2020,0.75,0.8,17435,3023,558,0.3010752688172043,-0.3633468835835014,0.4576100487874503,-0.3633468835835014
W1_trailing_24m,2021_2022,0.75,0.8,994,207,64,0.1875,-0.6348237380352091,0.23236278431558371,-0.6348237380352091
W1_trailing_24m,2023_2024,0.75,0.8,584,178,38,0.5263157894736842,-0.022691608927300894,0.9538999132952757,-0.022691608927300894
W1_trailing_24m,pooled,0.75,0.8,19013,3408,660,0.30303030303030304,-0.37005842638346154,0.4516860016689301,-0.37005842638346154
W1_trailing_24m,2018_2020,0.8,0.85,3394,816,165,0.3090909090909091,-0.35902893024872057,0.45094427066171616,-0.35902893024872057
W1_trailing_24m,2021_2022,0.8,0.85,147,34,11,0.18181818181818182,-0.6739767515168622,0.2248829182291706,-0.6739767515168622
W1_trailing_24m,2023_2024,0.8,0.85,5,3,1,1.0,0.7181196581196571,,0.7181196581196571
W1_trailing_24m,pooled,0.8,0.85,3546,853,177,0.3050847457627119,-0.3725163734440945,0.43864986090130426,-0.3725163734440945
W1_trailing_24m,2018_2020,0.85,0.9,212,56,14,0.2857142857142857,-0.5593759577429425,0.2534701531581668,-0.5593759577429425
W1_trailing_24m,2021_2022,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W1_trailing_24m,2023_2024,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W1_trailing_24m,pooled,0.85,0.9,212,56,14,0.2857142857142857,-0.5593759577429425,0.2534701531581668,-0.5593759577429425
W1_trailing_24m,2018_2020,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W1_trailing_24m,2021_2022,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W1_trailing_24m,2023_2024,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W1_trailing_24m,pooled,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W2_trailing_18m,2018_2020,0.5,0.55,108728,23625,4655,0.33404940923737914,-0.3028475171287629,0.558368072472495,-0.3028475171287629
W2_trailing_18m,2021_2022,0.5,0.55,118474,28689,5696,0.3693820224719101,-0.24374062417531678,0.6293787537202705,-0.24374062417531678
W2_trailing_18m,2023_2024,0.5,0.55,121185,24856,6226,0.4233858014776743,-0.1600852207433853,0.7332962799259306,-0.1600852207433853
W2_trailing_18m,pooled,0.5,0.55,348387,77170,16577,0.3797430174337938,-0.22891912721754915,0.644523211413496,-0.22891912721754915
