scheme,fold,observations,mean,median,p75,p90,p95,p99,maximum,fraction_ge_0.60,fraction_ge_0.65,fraction_ge_0.70,fraction_ge_0.75,fraction_ge_0.80
W0_expanding,2018_2020,1058080,0.4570840001106262,0.453849196434021,0.5603445768356323,0.6492421627044678,0.6884261965751648,0.738641083240509,0.8158532381057739,0.17528164221986994,0.09899629517616815,0.03723915015877816,0.006108233781944654,3.874943293512778e-05
W0_expanding,2021_2022,708197,0.419633150100708,0.4120711386203766,0.47924086451530457,0.5529139637947083,0.5943462252616882,0.6520511507987976,0.7495428323745728,0.0446500055775441,0.010937634584727131,0.0004391433457074797,0.0,0.0
W0_expanding,2023_2024,708020,0.4144177734851837,0.41191115975379944,0.4720989763736725,0.5351758003234863,0.5775803327560425,0.6484637260437012,0.7482444047927856,0.03344820767774922,0.009492669698596084,0.0008926301516906302,0.0,0.0
W0_expanding,pooled,2474297,0.4341558516025543,0.4248790144920349,0.5089884996414185,0.597731351852417,0.6478176116943359,0.7157148718833923,0.8158532381057739,0.09730642683558198,0.04818055391086842,0.016305641562027517,0.002612055060487888,1.6570363218320193e-05
W1_trailing_24m,2018_2020,1058080,0.4499506950378418,0.45751145482063293,0.5695198774337769,0.6593812704086304,0.7058918476104736,0.7733172178268433,0.8860716819763184,0.19260830939059428,0.11242155602600938,0.05526519733857553,0.019886019960683503,0.0034080598820505066
W1_trailing_24m,2021_2022,708197,0.43616563081741333,0.43098387122154236,0.500912606716156,0.5692169666290283,0.6113150119781494,0.6873190999031067,0.8423702716827393,0.06120472128517913,0.023925546140410085,0.007070066662242286,0.0016111336252483419,0.00020756936276205632
W1_trailing_24m,2023_2024,708020,0.4678495228290558,0.4726420044898987,0.5400126576423645,0.588461697101593,0.6202878952026367,0.6821280121803284,0.8106805086135864,0.07831275952656705,0.02456851501370018,0.0058388181124826985,0.0008318974040281348,7.061947402615745e-06
W1_trailing_24m,pooled,2474297,0.4511268734931946,0.45227351784706116,0.5390648245811462,0.6155224442481995,0.664228618144989,0.7467325925827026,0.8860716819763184,0.12229210963760616,0.06195295067649518,0.027327358033413126,0.009203018069374857,0.001518815243279202
W2_trailing_18m,2018_2020,1058080,0.4357188940048218,0.44046908617019653,0.5576750040054321,0.6528934240341187,0.7001519203186035,0.7688093185424805,0.8914554119110107,0.17527597157114774,0.10352336307273552,0.05013231513685166,0.01743629971268713,0.002985596552245577
W2_trailing_18m,2021_2022,708197,0.46996167302131653,0.46786198019981384,0.5333285331726074,0.5959843993186951,0.6380900740623474,0.7154322266578674,0.9060209393501282,0.0940020926380654,0.04034894245527727,0.014366059161504496,0.0042304612981981,0.0008782866914149594
W2_trailing_18m,2023_2024,708020,0.4551844894886017,0.46018585562705994,0.530978798866272,0.5845264196395874,0.6143153309822083,0.6787882447242737,0.8425257802009583,0.07089488997485947,0.02107567582836643,0.005492782689754527,0.001070591226236547,9.604248467557414e-05
W2_trailing_18m,pooled,2474297,0.451090008020401,0.4572354555130005,0.5398977398872375,0.6152305006980896,0.6643917560577393,0.7460291385650635,0.9060209393501282,0.12214499714464351,0.061849082789980345,0.027121643036385687,0.008973457915521055,0.001555593366519864
W3_trailing_12m,2018_2020,1058080,0.44011250138282776,0.45200568437576294,0.5547425746917725,0.6342448592185974,0.6817383766174316,0.7586296200752258,0.8874486088752747,0.15510263874187208,0.08041924996219567,0.036595531528806895,0.012705088462120066,0.002629290790866475
W3_trailing_12m,2021_2022,708197,0.48303115367889404,0.48360708355903625,0.5489252805709839,0.6113154292106628,0.6500244140625,0.7206127047538757,0.8721631169319153,0.11973786954759763,0.0500228043891742,0.017296034860356652,0.004069489139321403,0.0005972914316214274
W3_trailing_12m,2023_2024,708020,0.44335439801216125,0.4494151771068573,0.5220135450363159,0.5796651244163513,0.6177862286567688,0.6955209970474243,0.8726048469543457,0.06922120844043954,0.027181435552668005,0.009003982938335075,0.0023290302533826726,0.0003206124120787548
W3_trailing_12m,pooled,2474297,0.45332440733909607,0.463058739900589,0.5426707863807678,0.6130600571632385,0.6573271751403809,0.7381609678268433,0.8874486088752747,0.12040551316192033,0.056485134969649964,0.023176279969623695,0.007264285572831394,0.0013870606479335342
