scheme,fold,observations,spearman_probability_vs_realized_r,top_decile_observations,top_decile_realized_wr,top_decile_mean_r,top_decile_pf,top_quintile_observations,top_quintile_realized_wr,top_quintile_mean_r,top_quintile_pf,bottom_decile_observations,bottom_decile_realized_wr,bottom_decile_mean_r,bottom_decile_pf
W0_expanding,2018_2020,1058080,-0.11866297879345442,105809,0.301354327136633,-0.35823532439056505,0.46657779089545953,211617,0.303255409537041,-0.35134663403011807,0.48360810004764715,105807,0.36290604591378645,-0.30398373422844965,0.5321896822814514
W0_expanding,2021_2022,708197,-0.14220623862019924,70820,0.2980937588251906,-0.3345555359997973,0.5411748279231348,141640,0.31121858232137817,-0.32043019500104186,0.5531953465223517,70819,0.37101625270054645,-0.24428633596810412,0.6285571818628405
W0_expanding,2023_2024,708020,-0.11875169702218606,70803,0.351383415956951,-0.2219057656014711,0.670399279862454,141605,0.359281098831256,-0.21374837329121826,0.6795219224093325,70801,0.39294642731034873,-0.19228268210799643,0.6972832963243526
W0_expanding,pooled,2474297,-0.12831828265609677,247430,0.30580366164167644,-0.33791303595559546,0.5072965669591518,494860,0.31293901305419713,-0.32374140657596384,0.5313662227967697,247429,0.3704497047637908,-0.26405339214481366,0.5932617417827403
W1_trailing_24m,2018_2020,1058080,-0.1223361982910327,105809,0.3038210360177301,-0.3583860749290804,0.46442271853811545,211617,0.3045029463606421,-0.35025618137403713,0.4848422606987677,105807,0.35903106599752377,-0.30364340386578453,0.530166704901862
W1_trailing_24m,2021_2022,708197,-0.13272628042033582,70820,0.30251341428974865,-0.34638134887301114,0.5181756118747755,141640,0.31705732843829426,-0.31790318818170593,0.5508506782488033,70819,0.3745181377878818,-0.23946926493322726,0.6341509812248176
W1_trailing_24m,2023_2024,708020,-0.030110747889034235,70803,0.3960142931796675,-0.17839316030258895,0.715372750928195,141605,0.39408919176582746,-0.18495739462533653,0.7064346146786822,70801,0.3875086510077541,-0.18848019341912006,0.7063454342970655
W1_trailing_24m,pooled,2474297,-0.09843890152081532,247430,0.31479610394859153,-0.33006489972580294,0.5125810486241754,494860,0.3297760982904256,-0.30138295669579673,0.5529030517287614,247429,0.3614814754939801,-0.2862418201981565,0.5589489196976459
W2_trailing_18m,2018_2020,1058080,-0.11806492401896762,105809,0.3000689922407357,-0.363654960429459,0.45926037513946694,211617,0.3003964709829551,-0.35643657768284487,0.47914271424526567,105807,0.3586908238585349,-0.3023544460132218,0.5323970696673571
W2_trailing_18m,2021_2022,708197,-0.1095465801035155,70820,0.3065377012143462,-0.3405991518004655,0.5255560598741829,141640,0.3244351878000565,-0.30642127269423997,0.5633109891620408,70819,0.369406515200723,-0.245866921240797,0.6273596562468001
W2_trailing_18m,2023_2024,708020,-0.04564635904512484,70803,0.3866079120941203,-0.17662689630081488,0.722528361012342,141605,0.3832138695667526,-0.19070761716736281,0.7024973094826338,70801,0.39396336209940536,-0.1862961099906561,0.7063863962852777
W2_trailing_18m,pooled,2474297,-0.09361530554583496,247430,0.31157903245362323,-0.33295128508735006,0.5124412112273142,494860,0.32473426827789675,-0.3061276095635918,0.5505971448837005,247429,0.36271011077925386,-0.2844458139392344,0.5610907836325947
W3_trailing_12m,2018_2020,1058080,-0.039958999853889524,105809,0.31218516383294426,-0.3459415603300592,0.4822374716047092,211617,0.3205319043366081,-0.33107239593465515,0.5056755576215952,105807,0.3222187567930288,-0.34551661756930163,0.49652307599873324
W3_trailing_12m,2021_2022,708197,-0.03596996080390845,70820,0.3383507483761649,-0.28973303241894244,0.5789166669583269,141640,0.34470488562552953,-0.280143507426372,0.5893295624578221,70819,0.3433118230983211,-0.26970676859717524,0.6072351899283777
W3_trailing_12m,2023_2024,708020,-0.0006728401578471366,70803,0.40879623744756577,-0.15804218591390987,0.7423253436685502,141605,0.39944211009498254,-0.17333056940339878,0.7223879976663717,70801,0.36887897063600794,-0.20955529851801388,0.6829622050262667
W3_trailing_12m,pooled,2474297,-0.025145719253645303,247430,0.3366042921230247,-0.2989287730652641,0.5503926084420022,494860,0.3454249686780099,-0.28084229251166976,0.5767297475483247,247429,0.3367956060122298,-0.30366324455594035,0.5510641368833723
