scheme,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl,max_dd,trades_per_day,tp_first_wr,tp_count,sl_count,timeout_count,observed_spread_trades,fallback_spread_trades,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl,raw_qualifying_rows,independent_signal_episodes,session_blocked,rsi_floor_blocked,rsi_policy_blocked,spread_blocked,eligible_signal_episodes,position_blocked,loss_cooldown_blocked,daily_loss_blocked
W0_expanding,2018_2020,189,48,141,0.25396825396825395,1.042305571708541,-0.9525936809640492,1.0941764495579072,0.4775146813493704,-0.22354642738111646,0.3724855998495003,-0.4459526009202168,-84.28504157392098,-88.41767778745977,0.17244525547445255,0.15873015873015872,30,118,41,108,81,0.3317889489080831,-0.503834191954422,-95.22466227938577,6463,786,197,38,132,1,418,200,29,0
W0_expanding,2021_2022,0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
W0_expanding,2023_2024,0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
W0_expanding,pooled,189,48,141,0.25396825396825395,1.042305571708541,-0.9525936809640492,1.0941764495579072,0.4775146813493704,-0.22354642738111646,0.3724855998495003,-0.4459526009202168,-84.28504157392098,-88.41767778745977,0.07391474384043802,0.15873015873015872,30,118,41,108,81,0.3317889489080831,-0.503834191954422,-95.22466227938577,6463,786,197,38,132,1,418,200,29,0
W1_trailing_24m,2018_2020,502,149,353,0.2968127490039841,0.9987540019835427,-0.9499487308786656,1.0513767422582208,0.4874774971364686,-0.19066474813248452,0.4437822509815153,-0.37154891574625715,-186.5175557046211,-186.5175557046213,0.458029197080292,0.18326693227091634,92,297,113,252,250,0.39519088923866486,-0.4281189702019573,-214.9157230413826,21041,2311,570,83,348,4,1306,723,81,0
W1_trailing_24m,2021_2022,61,12,49,0.19672131147540983,1.0248550282559898,-1.0152087744979421,1.009501743878069,0.4976357960606365,-0.3009144845852267,0.24722491686809855,-0.6138847477266768,-37.44696961132728,-41.8831450436047,0.08356164383561644,0.11475409836065574,7,46,8,61,0,0.2214323905378331,-0.6716564068453494,-40.97104081756632,1141,177,9,16,41,0,111,42,8,0
W1_trailing_24m,2023_2024,38,20,18,0.5263157894736842,0.8921131854080055,-1.0391413804109746,0.858509921965748,0.5380654621107962,-0.011749672637112019,0.9538999132952757,-0.022691608927300894,-0.862281139237434,-6.865154820477048,0.05198358413132695,0.5263157894736842,20,17,1,38,0,0.8906945273275971,-0.05608434258625163,-2.131205018277562,589,175,87,6,17,1,64,24,2,0
W1_trailing_24m,pooled,601,181,420,0.3011647254575707,0.9887009411203308,-0.9613849447570612,1.0284131725925585,0.49299620684373613,-0.1918314813861654,0.44319710533155493,-0.37408786431811286,-224.82680645518582,-230.8296801364258,0.23504106374657802,0.19800332778702162,119,360,122,351,250,0.3964012307891759,-0.42931442408856313,-258.01796887722645,22771,2663,666,105,406,5,1481,789,91,0
W2_trailing_18m,2018_2020,433,126,307,0.2909930715935335,0.9999697612309233,-0.958994621317565,1.042727184284999,0.4895416322322174,-0.19854856063868392,0.4279596912700647,-0.38894955849745066,-168.41515882939615,-168.41515882939626,0.39507299270072993,0.17090069284064666,74,263,96,215,218,0.3809328731528345,-0.4463551544715775,-193.27178188619305,18449,2196,614,85,326,4,1167,657,77,0
W2_trailing_18m,2021_2022,157,44,113,0.2802547770700637,1.1472874014853263,-1.0334281868560955,1.1101762232512877,0.4738940705431862,-0.19363929347312253,0.43228100728368724,-0.42227222579225754,-66.29673944938443,-69.83455094513666,0.21506849315068494,0.24203821656050956,38,110,9,157,0,0.39208217969641757,-0.47684704312635573,-74.86498577083785,2996,524,29,34,127,1,333,140,36,0
W2_trailing_18m,2023_2024,57,24,33,0.42105263157894735,1.2191151115335928,-1.0078924560375162,1.2095686441850044,0.45257702340759287,-0.031524391828645526,0.8796862866800034,-0.07020505916547015,-4.001688372431799,-7.4681076207969195,0.07797537619699042,0.42105263157894735,24,31,2,57,0,0.8071450900211692,-0.11826757419083363,-6.741251728877517,758,173,29,12,25,0,107,45,5,0
W2_trailing_18m,pooled,647,194,453,0.29984544049459044,1.060492774521943,-0.9811240284955173,1.0808957315499979,0.48056228134752793,-0.1807168408529375,0.4629001587653412,-0.3689545388735895,-238.71358665121238,-239.08910769720958,0.2530308955807587,0.21020092735703247,136,404,107,429,218,0.41553033695186214,-0.4248501072425169,-274.87801938590843,22203,2893,672,131,478,5,1607,842,118,0
W3_trailing_12m,2018_2020,339,99,240,0.2920353982300885,0.9891275290397854,-0.938293593681259,1.0541770035528932,0.4868129661029237,-0.19477756787283518,0.4348480139655684,-0.37541839855033465,-127.26683710856345,-128.54461488634155,0.3093065693430657,0.1710914454277286,58,202,79,221,118,0.38653472780953435,-0.4326387227469223,-146.66452701120664,13443,1550,409,55,237,8,841,448,54,0
W3_trailing_12m,2021_2022,155,46,109,0.2967741935483871,1.0163568510535907,-1.050044544643835,0.9679178433314267,0.5081512947243423,-0.2113771011759552,0.4084790898462902,-0.4367899368884698,-67.70244021771282,-70.31270096432611,0.21232876712328766,0.27741935483870966,43,109,3,155,0,0.3739994574283032,-0.48428092889077484,-75.0635439780701,2882,566,172,32,101,0,261,77,29,0
W3_trailing_12m,2023_2024,99,44,55,0.4444444444444444,1.035800808764057,-1.0487806231437495,0.9876238995140992,0.5031132903183863,-0.05866884587394183,0.7900991196112793,-0.12229998674028002,-12.107698687287721,-18.595168457053255,0.1354309165526676,0.42424242424242425,42,55,2,99,0,0.7282120945027137,-0.16572437349081692,-16.406712975590874,1649,400,145,16,58,1,180,61,20,0
W3_trailing_12m,pooled,593,189,404,0.31871838111298484,1.0066205085133462,-0.9834857725806595,1.023523203464328,0.4941875627064578,-0.17546918159347297,0.4788264491454406,-0.3492023204275953,-207.076976013564,-214.84222356110791,0.23191239734063354,0.2411467116357504,143,366,84,475,118,0.43213506255197476,-0.4015763641903332,-238.1347839648676,17974,2516,726,103,396,9,1282,586,103,0
