cohort,s0_trade_id,entry_time,s0_exit_time,s0_exit_reason,intrabar_exit_time,intrabar_exit_reason,same_bar_both_reachable,outcome_changed
PRIMARY_2026_RECENT,S0_000000,2026-06-08T08:44:00,2026-06-08T09:00:00,take_profit,2026-06-08T09:00:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000001,2026-06-17T17:49:00,2026-06-17T18:16:00,take_profit,2026-06-17T17:52:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000002,2026-06-22T04:07:00,2026-06-22T04:30:00,stop_loss,2026-06-22T04:21:00,stop_loss,False,False
PRIMARY_2026_RECENT,S0_000003,2026-06-24T04:10:00,2026-06-24T04:12:00,take_profit,2026-06-24T04:12:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000004,2026-06-24T04:13:00,2026-06-24T04:29:00,take_profit,2026-06-24T04:25:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000005,2026-06-30T04:07:00,2026-06-30T04:08:00,take_profit,2026-06-30T04:08:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000006,2026-06-30T04:12:00,2026-06-30T04:20:00,take_profit,2026-06-30T04:19:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000007,2026-07-03T04:12:00,2026-07-03T04:20:00,take_profit,2026-07-03T04:20:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000008,2026-07-07T22:20:00,2026-07-07T22:27:00,take_profit,2026-07-07T22:27:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000009,2026-07-13T17:19:00,2026-07-13T17:21:00,stop_loss,2026-07-13T17:21:00,stop_loss,False,False
PRIMARY_2026_RECENT,S0_000010,2026-07-13T17:31:00,2026-07-13T17:59:00,take_profit,2026-07-13T17:59:00,take_profit,False,False
PRIMARY_2026_RECENT,S0_000011,2026-07-27T01:11:00,2026-07-27T02:41:00,timeout,2026-07-27T02:41:00,timeout,False,False
PRIMARY_2026_RECENT,S0_000012,2026-07-29T22:06:00,2026-07-29T22:10:00,stop_loss,2026-07-29T22:10:00,stop_loss,False,False
PRIMARY_2026_RECENT,S0_000013,2026-08-24T03:18:00,2026-08-24T03:21:00,stop_loss,2026-08-24T03:21:00,stop_loss,False,False
PRIMARY_2026_RECENT,S0_000014,2026-08-24T03:23:00,2026-08-24T03:24:00,stop_loss,2026-08-24T03:24:00,stop_loss,False,False
