cohort,cohort_sha256,simulator,exit_mode,entry_policy,cost_mode,spread_gate,risk_mode,entry_price_mode,entry_bar_exits,timeout_mode,raw_qualifying_rows,independent_episodes,session_blocked_rows,rsi_floor_blocked_rows,rsi_range_blocked_rows,spread_blocked_rows,position_blocked_rows,risk_cooldown_blocked_rows,daily_loss_blocked_rows,legacy_pause_blocked_rows,eligible_flat_rows,entries,later_entries_in_episode,entries_after_prior_close_same_episode,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp,sl,timeout,cohort_end,same_bar_both,risk_sized_pf,risk_sized_pnl,risk_sized_max_dd,final_balance
PRIMARY_2026_RECENT,238ccc09196dfd3cfd9a70a003afd74245904f2e6eab2dc8f227373b36b82303,S0,close_only,legacy_filtered_rising,fixed,False,legacy,close,False,bar_count,148,33,49,8,30,0,26,0,0,13,15,15,3,1,15,10,5,0.6666666666666666,0.9156765300698224,-1.3235797861883554,0.6918181583195581,0.5910800726913085,0.07558659397535816,1.383636316639116,0.16925775798376314,2.538866369756447,-4.573366379496617,9.156765300698224,6.617898930941777,0.17605490304754295,0.6,9,5,1,0,0,1.3447233113908017,34.25170765773643,-69.2777990126092,1034.2517076577365
PRIMARY_2026_RECENT,238ccc09196dfd3cfd9a70a003afd74245904f2e6eab2dc8f227373b36b82303,S1,high_low_stop_first,legacy_filtered_rising,fixed,False,legacy,close,False,bar_count,148,33,49,8,30,0,29,0,0,13,16,16,4,2,16,10,6,0.625,0.681478285495454,-1.005581573056385,0.67769567756115,0.5960556573965132,0.028944342603486772,1.1294927959352499,0.04883083853851425,0.781293416616228,-3.2065601621598825,6.814782854954539,6.033489438338311,0.18779189658404583,0.5625,9,6,1,0,0,1.1125222492925382,9.892535192788621,-46.85192419610413,1009.8925351927886
PRIMARY_2026_RECENT,238ccc09196dfd3cfd9a70a003afd74245904f2e6eab2dc8f227373b36b82303,S2,high_low_stop_first,live_barwise,fixed,False,legacy,close,False,bar_count,148,33,49,8,30,0,31,0,0,13,17,17,5,3,17,11,6,0.6470588235294118,0.6885534201134088,-1.005581573056385,0.6847315409933433,0.5935663787777041,0.05349244475170767,1.255341158487796,0.09062342252406973,1.5405981829091853,-3.01991692311631,7.574087621247497,6.033489438338311,0.1995288901205487,0.5882352941176471,10,6,1,0,0,1.233392237686379,20.627962208606494,-44.39639557327294,1020.6279622086065
PRIMARY_2026_RECENT,238ccc09196dfd3cfd9a70a003afd74245904f2e6eab2dc8f227373b36b82303,S3,high_low_stop_first,live_barwise,observed_fallback,True,legacy,close,False,bar_count,148,33,49,8,30,0,30,0,0,15,16,16,5,3,16,10,6,0.625,0.7607144250977736,-0.8382720101968218,0.9074792141982194,0.5242521085192192,0.10074789148078078,1.5124653569970323,0.16109451186230037,2.577512189796806,-2.01601445855802,7.607144250977736,5.029632061180931,0.18779189658404583,0.625,10,5,1,0,0,1.4824744400522365,35.64273314511713,-29.8599617783605,1035.642733145117
PRIMARY_2026_RECENT,238ccc09196dfd3cfd9a70a003afd74245904f2e6eab2dc8f227373b36b82303,S4,high_low_stop_first,live_barwise,observed_fallback,True,live,close,False,bar_count,148,33,49,8,30,0,35,10,0,0,16,16,4,1,16,9,7,0.5625,0.7588950549506038,-0.8623539847210362,0.8800273071111274,0.5319071676339702,0.030592832366029832,1.1314636805714495,0.04959860009426129,0.7935776015081807,-3.267304336281163,6.830055494555435,6.036477893047254,0.18779189658404583,0.5625,9,6,1,0,0,1.1146832951603043,10.055821644394445,-47.75833321593715,1010.0558216443944
PRIMARY_2026_RECENT,238ccc09196dfd3cfd9a70a003afd74245904f2e6eab2dc8f227373b36b82303,S5,high_low_stop_first,live_barwise,observed_fallback,True,live,open,True,wall_clock,148,33,49,8,30,0,24,20,0,0,17,17,5,2,17,9,8,0.5294117647058824,0.7549451229929052,-0.9059280894784676,0.833338905991444,0.5454528874786596,-0.01604112277277725,0.9375062692403745,-0.02664227111127026,-0.4529186088915944,-3.225550511700554,6.794506106936146,7.247424715827741,0.1995288901205487,0.5294117647058824,9,7,1,0,0,0.9271371204654193,-7.5162355891139345,-45.85715993412611,992.483764410886
SECONDARY_W0_2018_2020,f654abfdb294fffdda55fb336de76d8f0fa5c8c762eaf144b5178ffb8f90d27b,S0,close_only,legacy_filtered_rising,fixed,False,legacy,close,False,bar_count,6463,787,1271,298,1147,0,2529,0,0,989,194,194,58,8,194,63,131,0.3247422680412371,1.0002563449493698,-1.025598731561095,0.9752901541003752,0.5062547382844822,-0.18151247024324507,0.4690326695291881,-0.36771795929223294,-71.33728410269319,-76.78408653213275,63.016149731810295,134.35343383450345,0.17720378816230994,0.20103092783505155,39,103,52,0,0,0.4745755350105098,-305.7199114685256,-334.58374084898423,694.2800885314743
SECONDARY_W0_2018_2020,f654abfdb294fffdda55fb336de76d8f0fa5c8c762eaf144b5178ffb8f90d27b,S1,high_low_stop_first,legacy_filtered_rising,fixed,False,legacy,close,False,bar_count,6463,787,1271,298,1147,0,2345,0,0,1154,203,203,61,10,203,63,140,0.3103448275862069,0.9555877720382328,-0.9391625403303951,1.0174892321642846,0.49566559466948856,-0.18532076708328166,0.45787015447392804,-0.35113658131944164,-71.28072600784665,-75.48160132045848,60.20202963840866,131.48275564625533,0.18542458245849958,0.20689655172413793,42,114,47,0,0,0.45038438327468006,-307.48352243456765,-326.2073053376262,692.5164775654323
SECONDARY_W0_2018_2020,f654abfdb294fffdda55fb336de76d8f0fa5c8c762eaf144b5178ffb8f90d27b,S2,high_low_stop_first,live_barwise,fixed,False,legacy,close,False,bar_count,6463,787,1271,298,1147,0,2362,0,0,1185,200,200,63,12,200,60,140,0.3,0.990934486701652,-0.9277024621617725,1.0681598110589612,0.4835216285766473,-0.18352162857664733,0.4577827761681262,-0.352111377502745,-70.422275500549,-74.62315081316083,59.456069202099116,129.87834470264815,0.18268431769310303,0.215,43,112,45,0,0,0.45608875993061504,-303.85128476473415,-322.7013740515909,696.1487152352659
SECONDARY_W0_2018_2020,f654abfdb294fffdda55fb336de76d8f0fa5c8c762eaf144b5178ffb8f90d27b,S3,high_low_stop_first,live_barwise,observed_fallback,True,legacy,close,False,bar_count,6463,787,1271,298,1147,2,2360,0,0,1185,200,200,63,12,200,61,139,0.305,1.0744353294831575,-0.9299752337388504,1.1553375729840925,0.46396444461156366,-0.15896444461156367,0.5070186471369039,-0.31863001195613805,-63.72600239122761,-68.69197193809974,65.54055509847261,129.2665574897002,0.18268431769310303,0.215,43,112,45,0,0,0.4861090607299816,-291.2171420610779,-312.67137912391473,708.7828579389221
