cohort,transition,matching_rule,raw_episode_id,episode_trade_ordinal,left_trade_id,right_trade_id,left_entry_time,right_entry_time,left_exit_time,right_exit_time,left_exit_reason,right_exit_reason,left_net_r,right_net_r,entry_changed,exit_changed,pnl_sign_changed
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,0,0,S0_000000,S1_000000,2026-06-08T08:44:00,2026-06-08T08:44:00,2026-06-08T09:00:00,2026-06-08T09:00:00,take_profit,take_profit,1.0890720361382336,0.7625666778797452,False,False,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,4,0,S0_000001,S1_000001,2026-06-17T17:49:00,2026-06-17T17:49:00,2026-06-17T18:16:00,2026-06-17T17:52:00,take_profit,take_profit,0.8432675044882554,0.7378815080790373,False,True,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,11,0,S0_000002,S1_000002,2026-06-22T04:07:00,2026-06-22T04:07:00,2026-06-22T04:30:00,2026-06-22T04:21:00,stop_loss,stop_loss,-1.171607588327401,-1.0050762893774674,False,True,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,13,0,S0_000003,S1_000003,2026-06-24T04:10:00,2026-06-24T04:10:00,2026-06-24T04:12:00,2026-06-24T04:12:00,take_profit,take_profit,1.0372455608488165,0.7482135123430271,False,False,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,14,0,S0_000004,S1_000004,2026-06-24T04:13:00,2026-06-24T04:13:00,2026-06-24T04:29:00,2026-06-24T04:25:00,take_profit,take_profit,0.8482842475006859,0.7563496352337276,False,True,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,17,0,S0_000005,S1_000005,2026-06-30T04:07:00,2026-06-30T04:07:00,2026-06-30T04:08:00,2026-06-30T04:08:00,take_profit,take_profit,1.9002375296912308,0.7419833729216098,False,False,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,18,0,S0_000006,S1_000006,2026-06-30T04:12:00,2026-06-30T04:12:00,2026-06-30T04:20:00,2026-06-30T04:19:00,take_profit,take_profit,0.960179627974314,0.7682713999914986,False,True,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,18,1,,S1_000007,,2026-06-30T04:20:00,,2026-06-30T05:09:00,,stop_loss,,-1.0034093122930088,False,False,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,19,0,S0_000007,S1_000008,2026-07-03T04:12:00,2026-07-03T04:12:00,2026-07-03T04:20:00,2026-07-03T04:20:00,take_profit,take_profit,0.7618749565337896,0.7402374991306993,False,False,False
PRIMARY_2026_RECENT,S0->S1,raw_episode_id plus within-episode trade ordinal,20,0,S0_000008,S1_000009,2026-07-07T22:20:00,2026-07-07T22:20:00,2026-07-07T22:27:00,2026-07-07T22:27:00,take_profit,take_profit,0.8436788744051397,0.7408355748672408,False,False,False
