cohort,transition,trades_retained,trades_removed,trades_added,entry_timestamp_changed,exit_timestamp_changed,tp_to_sl,sl_to_tp,timeout_to_tp_or_sl,pnl_sign_changed,delta_trades,delta_trades_per_day,delta_wr,delta_pf,delta_mean_r,delta_pnl_r,delta_max_dd_r
PRIMARY_2026_RECENT,S0->S1,15,0,1,0,4,0,0,0,0,1,0.011736993536502871,-0.04166666666666663,-0.23220106209826352,-0.12042691944524889,-1.7575729531402189,1.3668062173367348
PRIMARY_2026_RECENT,S1->S2,16,0,1,1,1,0,0,0,0,1,0.011736993536502871,0.022058823529411797,0.12086998839384089,0.04179258398555548,0.7593047662929573,0.1866432390435726
PRIMARY_2026_RECENT,S2->S3,16,1,0,0,0,0,0,0,1,-1,-0.011736993536502871,-0.022058823529411797,0.24908220236585743,0.07047108933823064,1.0369140068876206,1.0039024645582897
PRIMARY_2026_RECENT,S3->S4,14,2,2,0,0,0,0,0,0,0,0.0,-0.0625,-0.3677911448919322,-0.11149591176803908,-1.7839345882886253,-1.251289877723143
PRIMARY_2026_RECENT,S4->S5,15,1,2,1,7,2,1,0,3,1,0.011736993536502871,-0.03308823529411764,-0.187546174694885,-0.07624087120553155,-1.246496210399775,0.041753824580609056
SECONDARY_W0_2018_2020,S0->S1,190,4,13,7,65,1,0,7,3,9,0.008220794296189632,-0.01439744045503022,-0.024191151735829752,0.0165813779727913,0.05655809484653673,1.3024852116742665
SECONDARY_W0_2018_2020,S1->S2,192,11,8,11,10,0,0,2,2,-3,-0.002740264765396544,-0.010344827586206917,0.005704376655934984,-0.0009747961833033725,0.8584505072976469,0.8584505072976469
SECONDARY_W0_2018_2020,S2->S3,200,0,0,1,0,0,0,0,1,0,0.0,0.0050000000000000044,0.030020300799366573,0.03348136554660697,6.696273109321396,5.931178875061093
SECONDARY_W0_2018_2020,S3->S4,182,18,55,21,16,2,0,1,4,37,0.03379659877322408,-0.00542194092827003,-0.0011171061232777557,-0.030392194162588704,-18.992260458910636,-20.554760458910607
SECONDARY_W0_2018_2020,S4->S5,226,11,14,22,109,3,3,8,18,3,0.002740264765396544,0.00042194092827002594,-0.012417217704271954,0.007294485608734358,0.7036099277400751,1.0869432610735856
