match_type,c0_trade_id,c1_trade_id,c0_entry_time,c1_entry_time,entry_delta_minutes,c0_net_r,c1_net_r,outcome_sign_changed
exact_common_entry,C0_legacy_label_S5_000564,C1_execution_aligned_label_S5_000470,2020-11-18T03:14:00,2020-11-18T03:14:00,0.0,0.6343943412908859,0.6343943412908859,False
exact_common_entry,C0_legacy_label_S5_000690,C1_execution_aligned_label_S5_000507,2021-11-29T01:11:00,2021-11-29T01:11:00,0.0,0.7151837524177886,0.7151837524177886,False
exact_common_entry,C0_legacy_label_S5_000714,C1_execution_aligned_label_S5_000512,2022-05-13T01:35:00,2022-05-13T01:35:00,0.0,0.6683271294065907,0.6683271294065907,False
exact_common_entry,C0_legacy_label_S5_000815,C1_execution_aligned_label_S5_000579,2024-04-23T04:47:00,2024-04-23T04:47:00,0.0,-1.008470064372498,-1.008470064372498,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000200,C1_execution_aligned_label_S5_000019,2018-08-16T03:56:00,2018-08-16T03:55:00,-1.0,0.5567622446468127,0.5764030902067732,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000419,C1_execution_aligned_label_S5_000027,2019-05-01T01:01:00,2019-05-01T01:37:00,36.0,-1.0581395348836153,0.3908045977012435,True
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000494,C1_execution_aligned_label_S5_000081,2019-10-08T03:27:00,2019-10-08T04:06:00,39.0,-1.061728395061616,0.9132325533236462,True
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000495,C1_execution_aligned_label_S5_000082,2019-10-08T04:09:00,2019-10-08T04:10:00,1.0,0.7957486136783654,-1.0308533145275556,True
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000561,C1_execution_aligned_label_S5_000448,2020-10-14T04:28:00,2020-10-14T04:29:00,1.0,0.6236565353056865,0.6295757304377347,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000562,C1_execution_aligned_label_S5_000449,2020-10-14T04:35:00,2020-10-14T04:37:00,2.0,0.6067245938798316,0.5913520097441879,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000565,C1_execution_aligned_label_S5_000475,2020-11-24T03:22:00,2020-11-24T03:33:00,11.0,0.6435137895812127,-1.0238549618320454,True
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000570,C1_execution_aligned_label_S5_000501,2021-01-18T01:37:00,2021-01-18T01:49:00,12.0,-1.0114573785518006,-1.0083876533742375,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000571,C1_execution_aligned_label_S5_000502,2021-02-17T01:11:00,2021-02-17T01:12:00,1.0,0.608078760677552,0.5893082643468313,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000587,C1_execution_aligned_label_S5_000503,2021-06-04T03:22:00,2021-06-04T04:14:00,52.0,-1.0397998635433143,-1.026435045317203,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000622,C1_execution_aligned_label_S5_000505,2021-08-09T01:31:00,2021-08-09T01:32:00,1.0,-1.025104002295168,-1.024780515434725,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000653,C1_execution_aligned_label_S5_000506,2021-09-23T23:28:00,2021-09-23T23:27:00,-1.0,-1.0242415847069886,-1.0256185038793169,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000730,C1_execution_aligned_label_S5_000515,2022-07-11T01:08:00,2022-07-11T01:09:00,1.0,0.6925507149983481,0.6813063063063238,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000731,C1_execution_aligned_label_S5_000517,2022-07-12T04:26:00,2022-07-12T04:25:00,-1.0,0.7196589769308265,0.6752761786214687,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000817,C1_execution_aligned_label_S5_000590,2024-05-23T04:33:00,2024-05-23T04:17:00,-16.0,0.6913455630651064,-1.0182882223847463,True
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000819,C1_execution_aligned_label_S5_000598,2024-06-11T04:11:00,2024-06-11T04:12:00,1.0,0.678813559321964,0.6838475160778702,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000820,C1_execution_aligned_label_S5_000616,2024-07-25T04:28:00,2024-07-25T04:20:00,-8.0,-1.0142635911647053,-1.0190279438947434,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000821,C1_execution_aligned_label_S5_000618,2024-07-25T04:57:00,2024-07-25T04:55:00,-2.0,0.7192167331216122,0.7329568374344956,False
changed_entry_within_90m_nearest_greedy,C0_legacy_label_S5_000829,C1_execution_aligned_label_S5_000683,2024-12-18T22:01:00,2024-12-18T23:15:00,74.0,-1.0117797522886374,-1.0221687357486013,False
C0_only_unmatched,C0_legacy_label_S5_000000,,2018-03-20T01:03:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000001,,2018-03-20T04:14:00,,,-0.6444444444444648,,
C0_only_unmatched,C0_legacy_label_S5_000002,,2018-04-24T03:43:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000003,,2018-04-25T01:30:00,,,0.7111111111111212,,
C0_only_unmatched,C0_legacy_label_S5_000004,,2018-04-25T03:00:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000005,,2018-04-27T03:55:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000006,,2018-04-27T04:36:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000007,,2018-05-04T01:24:00,,,-0.33333333333338394,,
C0_only_unmatched,C0_legacy_label_S5_000008,,2018-05-04T03:21:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000009,,2018-05-04T04:12:00,,,1.277777777777778,,
