fold,event_type,expected_identified_releases,verified_timestamped_releases,coverage_percentage,first_timestamp_utc,last_timestamp_utc,duplicate_timestamps,ambiguous_timestamps,missing_timestamps,minimum_expected_releases,coverage_gate_pass,scored_rows,causally_constructable_rows
2018_2020,CPI,36,36,1.0,2018-01-12T13:30:00+00:00,2020-12-10T13:30:00+00:00,0,0,0,33,True,,
2018_2020,EMPLOYMENT,36,36,1.0,2018-01-05T13:30:00+00:00,2020-12-04T13:30:00+00:00,0,0,0,33,True,,
2018_2020,PCE,42,42,1.0,2018-01-29T13:30:00+00:00,2020-12-23T13:30:00+00:00,0,0,0,33,True,,
2018_2020,FOMC,34,30,0.8823529411764706,2018-01-31T19:00:00+00:00,2020-12-16T19:00:00+00:00,0,4,4,21,False,,
2021_2022,CPI,24,24,1.0,2021-01-13T13:30:00+00:00,2022-12-13T13:30:00+00:00,0,0,0,22,True,,
2021_2022,EMPLOYMENT,24,24,1.0,2021-01-08T13:30:00+00:00,2022-12-02T13:30:00+00:00,0,0,0,22,True,,
2021_2022,PCE,33,33,1.0,2021-01-29T13:30:00+00:00,2022-12-23T13:30:00+00:00,0,0,0,22,True,,
2021_2022,FOMC,36,16,0.4444444444444444,2021-01-27T19:00:00+00:00,2022-12-14T19:00:00+00:00,0,20,20,14,False,,
2023_2024,CPI,24,24,1.0,2023-01-12T13:30:00+00:00,2024-12-11T13:30:00+00:00,0,0,0,22,True,,
2023_2024,EMPLOYMENT,24,24,1.0,2023-01-06T13:30:00+00:00,2024-12-06T13:30:00+00:00,0,0,0,22,True,,
2023_2024,PCE,29,29,1.0,2023-01-27T13:30:00+00:00,2024-12-20T13:30:00+00:00,0,0,0,22,True,,
2023_2024,FOMC,34,16,0.47058823529411764,2023-02-01T19:00:00+00:00,2024-12-18T19:00:00+00:00,0,18,18,14,False,,
all_scored_rows,ALL,,459,1.0,2015-01-16T13:30:00+00:00,2024-12-20T13:30:00+00:00,0,,,,True,2474297,2474297
