event_type,official_release_timestamp,original_timezone,release_timestamp_utc,official_source,source_document,source_release_identifier,acquisition_timestamp_utc,verification_basis,broker_wall_timestamp
CPI,"embargoed until 8:30 a.m. (EST) Friday, January 16, 2015 USDL-15-0018 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX - DECEMBER 2014 The Consumer Price Index for A",EST,2015-01-16T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_01162015.htm,cpi_01162015,2026-09-03T15:41:06.326696Z,official document release or embargo timestamp,2015-01-16T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, MONDAY, FEBRUARY 2, 2015 BEA 15-05 Personal Income and Outlays, December 2014 Personal income increased $41.3 billion, or 0.3 percent, and disposable personal income (DPI) increased $35.8 billion, or 0.3 percent, in De",EST,2015-02-02T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-december-2014,personal-income-and-outlays-december-2014,2026-09-03T15:45:21.835041Z,official document release or embargo timestamp,2015-02-02T15:30:00
EMPLOYMENT,"embargoed until USDL-15-0158 8:30 a.m. (EST) Friday, February 6, 2015 Technical information: Household data: (202) 691-6378 � cpsinfo@bls.gov � www.bls.gov/cps Establishment data: (202) 691-6555 � cesinfo@bls.gov � www.bls.gov/ces Media contact: (202) 691-5902",EST,2015-02-06T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_02062015.htm,empsit_02062015,2026-09-03T15:43:06.973358Z,official document release or embargo timestamp,2015-02-06T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) Thursday, February 26, 2015 USDL-15-0281 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX - JANUARY 2015 The Consumer Price Index for",EST,2015-02-26T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_02262015.htm,cpi_02262015,2026-09-03T15:41:07.287021Z,official document release or embargo timestamp,2015-02-26T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, MONDAY, MARCH 2, 2015 BEA 15-08 Personal Income and Outlays, January 2015 Personal income increased $50.8 billion, or 0.3 percent, and disposable personal income (DPI) increased $52.6 billion, or 0.4 percent, in Januar",EST,2015-03-02T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-january-2015,personal-income-and-outlays-january-2015,2026-09-03T15:45:24.732965Z,official document release or embargo timestamp,2015-03-02T15:30:00
EMPLOYMENT,"embargoed until USDL-15-0325 8:30 a.m. (EST) Friday, March 6, 2015 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * ",EST,2015-03-06T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_03062015.htm,empsit_03062015,2026-09-03T15:43:08.137783Z,official document release or embargo timestamp,2015-03-06T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Tuesday, March 24, 2015 USDL-15-0477 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX - FEBRUARY 2015 The Consumer Price Index for Al",EDT,2015-03-24T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_03242015.htm,cpi_03242015,2026-09-03T15:41:08.297991Z,official document release or embargo timestamp,2015-03-24T14:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, MONDAY, MARCH 30, 2015 BEA 15-14 Personal Income and Outlays, February 2015 Personal income increased $58.6 billion, or 0.4 percent, and disposable personal income (DPI) increased $54.2 billion, or 0.4 percent, in Febr",EDT,2015-03-30T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-february-2015,personal-income-and-outlays-february-2015,2026-09-03T15:45:23.273186Z,official document release or embargo timestamp,2015-03-30T15:30:00
EMPLOYMENT,"embargoed until USDL-15-0530 8:30 a.m. (EDT) Friday, April 3, 2015 Technical information: Household data: (202) 691-6378 � cpsinfo@bls.gov � www.bls.gov/cps Establishment data: (202) 691-6555 � cesinfo@bls.gov � www.bls.gov/ces Media contact: (202) 691-5902 � ",EDT,2015-04-03T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_04032015.htm,empsit_04032015,2026-09-03T15:43:08.942427Z,official document release or embargo timestamp,2015-04-03T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Friday, April 17, 2015 USDL-15-0609 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX - MARCH 2015 The Consumer Price Index for All Ur",EDT,2015-04-17T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_04172015.htm,cpi_04172015,2026-09-03T15:41:09.357753Z,official document release or embargo timestamp,2015-04-17T15:30:00
