official_statement_url,statement_release_date,statement_release_time_local,original_timezone,scheduled_or_unscheduled,meeting_start_date,meeting_end_date,meeting_detail_url,meeting_evidence_quote,identity_quote,date_quote,time_quote
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131a.htm","2018-01-31","14:00:00","EST","scheduled","2018-01-30","2018-01-31","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","January 30-31 Meeting - 2018","Federal Reserve issues FOMC statement","January 31, 2018","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20180321a.htm","2018-03-21","14:00:00","EDT","scheduled","2018-03-20","2018-03-21","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","March 20-21 Meeting - 2018","Federal Reserve issues FOMC statement","March 21, 2018","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20180502a.htm","2018-05-02","14:00:00","EDT","scheduled","2018-05-01","2018-05-02","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","May 1-2 Meeting - 2018","Federal Reserve issues FOMC statement","May 02, 2018","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20180613a.htm","2018-06-13","14:00:00","EDT","scheduled","2018-06-12","2018-06-13","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","June 12-13 Meeting - 2018","Federal Reserve issues FOMC statement","June 13, 2018","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20180801a.htm","2018-08-01","14:00:00","EDT","scheduled","2018-07-31","2018-08-01","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","Jul/Aug 31-1 Meeting - 2018","Federal Reserve issues FOMC statement","August 01, 2018","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20180926a.htm","2018-09-26","14:00:00","EDT","scheduled","2018-09-25","2018-09-26","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","September 25-26 Meeting - 2018","Federal Reserve issues FOMC statement","September 26, 2018","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20181108a.htm","2018-11-08","14:00:00","EST","scheduled","2018-11-07","2018-11-08","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","November 7-8 Meeting - 2018","Federal Reserve issues FOMC statement","November 08, 2018","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20181219a.htm","2018-12-19","14:00:00","EST","scheduled","2018-12-18","2018-12-19","https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm","December 18-19 Meeting - 2018","Federal Reserve issues FOMC statement","December 19, 2018","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20190130a.htm","2019-01-30","14:00:00","EST","scheduled","2019-01-29","2019-01-30","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","January 29-30 Meeting - 2019","Federal Reserve issues FOMC statement","January 30, 2019","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20190320a.htm","2019-03-20","14:00:00","EDT","scheduled","2019-03-19","2019-03-20","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","March 19-20 Meeting - 2019","Federal Reserve issues FOMC statement","March 20, 2019","For release at 2:00 p.m. EDT"
