official_statement_url,meeting_start_date,meeting_end_date,scheduled_or_unscheduled,statement_release_date,statement_release_time_local,original_timezone,meeting_detail_url,meeting_evidence_quote,identity_quote,date_quote,time_quote
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm","2016-01-26","2016-01-27","scheduled","2016-01-27","14:00:00","EST","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","January 26-27 Meeting - 2016","Federal Reserve issues FOMC statement","January 27, 2016","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm","2016-03-15","2016-03-16","scheduled","2016-03-16","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","March 15-16 Meeting - 2016","Federal Reserve issues FOMC statement","March 16, 2016","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm","2016-04-26","2016-04-27","scheduled","2016-04-27","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","April 26-27 Meeting - 2016","Federal Reserve issues FOMC statement","April 27, 2016","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160615a.htm","2016-06-14","2016-06-15","scheduled","2016-06-15","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","June 14-15 Meeting - 2016","Federal Reserve issues FOMC statement","June 15, 2016","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160727a.htm","2016-07-26","2016-07-27","scheduled","2016-07-27","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","July 26-27 Meeting - 2016","Federal Reserve issues FOMC statement","July 27, 2016","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160921a.htm","2016-09-20","2016-09-21","scheduled","2016-09-21","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","September 20-21 Meeting - 2016","Federal Reserve issues FOMC statement","September 21, 2016","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20161102a.htm","2016-11-01","2016-11-02","scheduled","2016-11-02","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","November 1-2 Meeting - 2016","Federal Reserve issues FOMC statement","November 02, 2016","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20161214a.htm","2016-12-13","2016-12-14","scheduled","2016-12-14","14:00:00","EST","https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm","December 13-14 Meeting - 2016","Federal Reserve issues FOMC statement","December 14, 2016","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20170201a.htm","2017-01-31","2017-02-01","scheduled","2017-02-01","14:00:00","EST","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","Jan/Feb 31-1 Meeting - 2017","Federal Reserve issues FOMC statement","February 01, 2017","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20170315a.htm","2017-03-14","2017-03-15","scheduled","2017-03-15","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","March 14-15 Meeting - 2017","Federal Reserve issues FOMC statement","March 15, 2017","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20170503a.htm","2017-05-02","2017-05-03","scheduled","2017-05-03","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","May 2-3 Meeting - 2017","Federal Reserve issues FOMC statement","May 03, 2017","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20170614a.htm","2017-06-13","2017-06-14","scheduled","2017-06-14","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","June 13-14 Meeting - 2017","Federal Reserve issues FOMC statement","June 14, 2017","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20170726a.htm","2017-07-25","2017-07-26","scheduled","2017-07-26","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","July 25-26 Meeting - 2017","Federal Reserve issues FOMC statement","July 26, 2017","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20170920a.htm","2017-09-19","2017-09-20","scheduled","2017-09-20","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","September 19-20 Meeting - 2017","Federal Reserve issues FOMC statement","September 20, 2017","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20171101a.htm","2017-10-31","2017-11-01","scheduled","2017-11-01","14:00:00","EDT","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","Oct/Nov 31-1 Meeting - 2017","Federal Reserve issues FOMC statement","November 01, 2017","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20171213a.htm","2017-12-12","2017-12-13","scheduled","2017-12-13","14:00:00","EST","https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm","December 12-13 Meeting - 2017","Federal Reserve issues FOMC statement","December 13, 2017","For release at 2:00 p.m. EST"
