url,official_title,classification,minutes_since_changed,post_window_changed,pce_flag_changed,total_distinct_rows_changed
https://www.bea.gov/news/2015/personal-consumption-expenditures-state-1997-2014,"Personal Consumption Expenditures by State, 1997-2014",state_or_regional_excluded,0,0,0,0
https://www.bea.gov/news/2016/personal-consumption-expenditures-state-2015,"Personal Consumption Expenditures by State, 2015",state_or_regional_excluded,1380,240,240,1380
https://www.bea.gov/news/2017/personal-consumption-expenditures-state-2016,"Personal Consumption Expenditures by State, 2016",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2018/personal-consumption-expenditures-state-2017,"Personal Consumption Expenditures by State, 2017",state_or_regional_excluded,1363,240,240,1363
https://www.bea.gov/news/2019/personal-consumption-expenditures-state-2018,"Personal Consumption Expenditures by State, 2018",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2020/personal-consumption-expenditures-state-2019,"Personal Consumption Expenditures by State, 2019",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2020/personal-income-county-and-metropolitan-area-2019,"Personal Income by County and Metropolitan Area, 2019",other_noncanonical_excluded,1379,240,240,1379
https://www.bea.gov/news/2020/personal-income-state-1st-quarter-2020,"Personal Income by State, 1st Quarter 2020",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2020/personal-income-state-2nd-quarter-2020,"Personal Income by State, 2nd Quarter 2020",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2020/personal-income-state-3rd-quarter-2020,"Personal Income by State, 3rd Quarter 2020",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2021/personal-consumption-expenditures-state-2020,"Personal Consumption Expenditures by State, 2020",state_or_regional_excluded,0,0,240,240
https://www.bea.gov/news/2021/personal-income-county-and-metropolitan-area-2020,"Personal Income by County and Metropolitan Area, 2020",other_noncanonical_excluded,1379,240,240,1379
https://www.bea.gov/news/2021/personal-income-state-1st-quarter-2021,"Personal Income by State, 1st Quarter 2021",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2021/personal-income-state-2nd-quarter-2021,"Personal Income by State, 2nd Quarter 2021",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2021/personal-income-state-3rd-quarter-2021,"Personal Income by State, 3rd Quarter 2021",state_or_regional_excluded,508,240,240,508
https://www.bea.gov/news/2022/personal-consumption-expenditures-state-2021,"Personal Consumption Expenditures by State, 2021",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2022/personal-income-county-and-metropolitan-area-2021,"Personal Income by County and Metropolitan Area, 2021",other_noncanonical_excluded,1379,240,240,1379
https://www.bea.gov/news/2022/personal-income-state-1st-quarter-2022,"Personal Income by State, 1st Quarter 2022",state_or_regional_excluded,1377,240,240,1377
https://www.bea.gov/news/2022/personal-income-state-2021-preliminary-and-4th-quarter-2021,"Personal Income by State, 2021 (Preliminary) and 4th Quarter 2021",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2023/personal-consumption-expenditures-state-2022,"Personal Consumption Expenditures by State, 2022",state_or_regional_excluded,1379,240,240,1379
https://www.bea.gov/news/2023/personal-income-county-and-metropolitan-area-2022,"Personal Income by County and Metropolitan Area, 2022",other_noncanonical_excluded,1379,240,240,1379
https://www.bea.gov/news/2023/personal-income-state-2nd-quarter-2023,"Personal Income by State, 2nd Quarter 2023",state_or_regional_excluded,418,150,90,418
https://www.bea.gov/news/2024/personal-consumption-expenditures-state-2023,"Personal Consumption Expenditures by State, 2023",state_or_regional_excluded,1378,240,240,1378
https://www.bea.gov/news/2024/personal-income-county-and-metropolitan-area-2023,"Personal Income by County and Metropolitan Area, 2023",other_noncanonical_excluded,1379,240,240,1379
