block,family,canonical_stream_sufficient,unresolved_events,exact_rows_affected
fold1_train,CPI,True,1,0
fold1_train,EMPLOYMENT,True,0,0
fold1_train,PCE,True,0,0
fold1_train,FOMC,True,0,0
fold1_score,CPI,True,1,0
fold1_score,EMPLOYMENT,True,0,0
fold1_score,PCE,True,0,0
fold1_score,FOMC,True,0,0
fold2_train,CPI,True,1,0
fold2_train,EMPLOYMENT,True,0,0
fold2_train,PCE,True,0,0
fold2_train,FOMC,True,0,0
fold2_score,CPI,True,1,0
fold2_score,EMPLOYMENT,True,0,0
fold2_score,PCE,True,0,0
fold2_score,FOMC,True,0,0
fold3_train,CPI,True,1,0
fold3_train,EMPLOYMENT,True,0,0
fold3_train,PCE,True,0,0
fold3_train,FOMC,True,0,0
fold3_score,CPI,True,1,0
fold3_score,EMPLOYMENT,True,0,0
fold3_score,PCE,True,0,0
fold3_score,FOMC,True,0,0
