url,classification,official_title,reference_periods,release_timestamp_utc,release_local,original_timezone,release_evidence,identity_evidence,source_sha256,acquisition_utc,source_path,document_id,reviewed,review_notes
https://www.bea.gov/news/2015/personal-consumption-expenditures-state-1997-2014,state_or_regional_excluded,"Personal Consumption Expenditures by State, 1997-2014",not_applicable_noncanonical,2015-12-01T13:30:00+00:00,2015-12-01T08:30:00-05:00,EST,"FOR RELEASE: 8:30 A.M. EST, Tuesday, December 1, 2015 BEA 15—58 Personal Consumption Expenditures by State, 1997-2014 Today, the U.S. Bureau of Economic Analysis released its first set of official statistics on personal consumption expenditures (PCE) by state for 1997-2014 1 . PCE by state – the measure of goods and services purchased by or on behalf of households by state of residence – provides insight into household spending patterns across st","Personal Consumption Expenditures by State, 1997-2014",346b1ff3882bec4a9de63922c2acca080ecf5b9522af0fa4dab060f70e8fba83,2026-09-05T17:16:52.965662+00:00,sources/9ce85996963e8e587bebdc15.html,personal-consumption-expenditures-state-1997-2014,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-april-2015,national_pce,"Personal Income and Outlays, April 2015",2015-04,2015-06-01T12:30:00+00:00,2015-06-01T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, MONDAY, JUNE 1, 2015 BEA 15-22 Personal Income and Outlays, April 2015 Personal income increased $59.4 billion, or 0.4 percent, and disposable personal income (DPI) increased $48.8 billion, or 0.4 percent, in April, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) decreased $2.6 billion, or less than 0.1 percent. In March, personal income increased $4.0 billion, or les","Personal Income and Outlays, April 2015",dbc513ae0f48152854f24ae4790df53709556e61a6f311e9e144e4700ff4cc3d,2026-09-05T17:16:52.965662+00:00,sources/6682f0b2fe9f24c4e82dc940.html,personal-income-and-outlays-april-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-august-2015,national_pce,"Personal Income and Outlays, August 2015",2015-08,2015-09-28T12:30:00+00:00,2015-09-28T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Monday, September 28, 2015 BEA 15-46 Personal Income and Outlays, August 2015 Personal income increased $52.5 billion, or 0.3 percent, and disposable personal income (DPI) increased $47.1 billion, or 0.4 percent, in August, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) increased $54.9 billion, or 0.4 percent. In July, personal income increased $69.6 billion, or 0.5 ","Personal Income and Outlays, August 2015",0be4cad46abe79d13b1aa46e7fb376fc327a301808be770881bba31a825b6f6d,2026-09-05T17:16:52.988211+00:00,sources/75c9d559fead398bc2076c4a.html,personal-income-and-outlays-august-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-december-2014,national_pce,"Personal Income and Outlays, December 2014",2014-12,2015-02-02T13:30:00+00:00,2015-02-02T08:30:00-05:00,EST,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, MONDAY, FEBRUARY 2, 2015 BEA 15-05 Personal Income and Outlays, December 2014 Personal income increased $41.3 billion, or 0.3 percent, and disposable personal income (DPI) increased $35.8 billion, or 0.3 percent, in December, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) decreased $40.0 billion, or 0.3 percent. In November, personal income increased $47.2 billion, o","Personal Income and Outlays, December 2014",38db16e7f406b66155308c6dd674d1e7f4d17b4cfa461c63f2426cce89a31d54,2026-09-05T17:16:52.988211+00:00,sources/0e7d3095b35b60b0a7854b5d.html,personal-income-and-outlays-december-2014,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-february-2015,national_pce,"Personal Income and Outlays, February 2015",2015-02,2015-03-30T12:30:00+00:00,2015-03-30T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, MONDAY, MARCH 30, 2015 BEA 15-14 Personal Income and Outlays, February 2015 Personal income increased $58.6 billion, or 0.4 percent, and disposable personal income (DPI) increased $54.2 billion, or 0.4 percent, in February, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) increased $11.8 billion, or 0.1 percent. In January, personal income increased $61.8 billion, or 0","Personal Income and Outlays, February 2015",4b2e37e4f214da602d24e6021caa27d6f84b8389ce17b878ed186e41bee1f29b,2026-09-05T17:16:54.786409+00:00,sources/559ca795f77063a6a97dc6d4.html,personal-income-and-outlays-february-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-january-2015,national_pce,"Personal Income and Outlays, January 2015",2015-01,2015-03-02T13:30:00+00:00,2015-03-02T08:30:00-05:00,EST,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, MONDAY, MARCH 2, 2015 BEA 15-08 Personal Income and Outlays, January 2015 Personal income increased $50.8 billion, or 0.3 percent, and disposable personal income (DPI) increased $52.6 billion, or 0.4 percent, in January, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) decreased $18.9 billion, or 0.2 percent. In December, personal income increased $45.3 billion, or 0.3","Personal Income and Outlays, January 2015",6a86a54565fcf261f7186122557e1ecb63c993b41a05f1916ea8512eb9b55b69,2026-09-05T17:16:54.786409+00:00,sources/28c0cde9e25d5fdc6a056c85.html,personal-income-and-outlays-january-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-july-2015,national_pce,"Personal Income and Outlays, July 2015",2015-07,2015-08-28T12:30:00+00:00,2015-08-28T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Friday, August 28, 2015 BEA 15-39 Personal Income and Outlays, July 2015 Personal income increased $67.1 billion, or 0.4 percent, and disposable personal income (DPI) increased $61.5 billion, or 0.5 percent, in July, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) increased $37.4 billion, or 0.3 percent. In June, personal income increased $59.4 billion, or 0.4 percent","Personal Income and Outlays, July 2015",730baf57867cfe4795d0d1cf6c41ece5251943023d0cfe1230ba8153108d1b16,2026-09-05T17:16:54.884697+00:00,sources/8609a3ca2bc5934e080a3dc5.html,personal-income-and-outlays-july-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-june-2015-includes-historical-revisions,national_pce,"Personal Income and Outlays, June 2015; Includes historical revisions",2015-06,2015-08-03T12:30:00+00:00,2015-08-03T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Monday, August 3, 2015 BEA 15-36 Personal Income and Outlays, June 2015; Includes historical revisions Personal income increased $68.1 billion, or 0.4 percent, and disposable personal income (DPI) increased $60.6 billion, or 0.5 percent, in June, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) increased $25.9 billion, or 0.2 percent. In May, personal income increased ","Personal Income and Outlays, June 2015; Includes historical revisions",e3fa73d37c86ec50169c136424ecfa303c0bf543db1b74740a83beb93c4c2648,2026-09-05T17:16:54.964415+00:00,sources/b9a73a186f337a6c6bcb55b4.html,personal-income-and-outlays-june-2015-includes-historical-revisions,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-march-2015,national_pce,"Personal Income and Outlays, March 2015",2015-03,2015-04-30T12:30:00+00:00,2015-04-30T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, THURSDAY, APRIL 30, 2015 BEA 15-19 Personal Income and Outlays, March 2015 Personal income increased $6.2 billion, or less than 0.1 percent, and disposable personal income (DPI) increased $1.6 billion, or less than 0.1 percent, in March, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) increased $53.4 billion, or 0.4 percent. In February, personal income increased $66.","Personal Income and Outlays, March 2015",d22352b386e76e8c24d2ae2bacb8f281827849933352eff36db76614373e9851,2026-09-05T17:16:56.608436+00:00,sources/664ea322d675a27af2c97551.html,personal-income-and-outlays-march-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
https://www.bea.gov/news/2015/personal-income-and-outlays-may-2015,national_pce,"Personal Income and Outlays, May 2015",2015-05,2015-06-25T12:30:00+00:00,2015-06-25T08:30:00-04:00,EDT,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, THURSDAY, JUNE 25, 2015 BEA 15-30 Personal Income and Outlays, May 2015 Personal income increased $79.0 billion, or 0.5 percent, and disposable personal income (DPI) increased $65.5 billion, or 0.5 percent, in May, according to the Bureau of Economic Analysis. Personal consumption expenditures (PCE) increased $105.9 billion, or 0.9 percent. In April, personal income increased $69.6 billion, or 0.5 percent","Personal Income and Outlays, May 2015",e00bc3b2c205f88be50547ba90e2ab90a7c414199154b8dd57938393e31a67b0,2026-09-05T17:16:56.609440+00:00,sources/86f12a15de332b677bc3b9c1.html,personal-income-and-outlays-may-2015,yes,Official h1 identity and embargo date/time reviewed; retained document content confirms product scope. Reference period is separate from public release time.
