block,record_type,instrument_or_feature,exact_gold_timestamps,fresh_causal_fx_close,fresh_percentage,stale_gt_5m,inside_confirmed_fx_closure,unresolved_source_gap_rows,maximum_unexplained_gap_minutes,maximum_timestamp_mismatch_minutes,first_usable_timestamp,last_usable_timestamp
fold1_train,instrument,EUR/USD,530218,522391,98.523814732808,7827,7749,78,12.0,5.0,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_score,instrument,EUR/USD,1058080,1042555,98.53271964312718,15525,12729,2796,2882.0,5.0,2018-01-02T09:06:00+00:00,2020-12-31T16:50:00+00:00
fold2_train,instrument,EUR/USD,532563,524663,98.51660742484927,7900,7697,203,2882.0,5.0,2019-07-01T00:01:00+00:00,2020-12-31T12:50:00+00:00
fold2_score,instrument,EUR/USD,708197,698127,98.57807926325584,10070,9846,224,2882.0,4.0,2021-01-04T00:01:00+00:00,2022-12-30T21:57:00+00:00
fold3_train,instrument,EUR/USD,533580,525936,98.5674125716856,7644,7566,78,0.0,4.0,2021-06-30T22:00:00+00:00,2022-12-30T17:57:00+00:00
fold3_score,instrument,EUR/USD,708020,697899,98.57052060676253,10121,10013,108,0.0,5.0,2023-01-02T23:00:00+00:00,2024-12-31T18:00:00+00:00
fold1_train,instrument,GBP/USD,530218,522391,98.523814732808,7827,7749,78,67.0,5.0,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_score,instrument,GBP/USD,1058080,921085,87.0524913050053,136995,12723,124272,2939.0,5.0,2018-01-02T09:06:00+00:00,2020-12-31T16:50:00+00:00
fold2_train,instrument,GBP/USD,532563,524656,98.51529302636496,7907,7691,216,2888.0,5.0,2019-07-01T00:01:00+00:00,2020-12-31T12:50:00+00:00
fold2_score,instrument,GBP/USD,708197,698116,98.57652602312633,10081,9844,237,2888.0,5.0,2021-01-04T00:01:00+00:00,2022-12-30T21:57:00+00:00
fold3_train,instrument,GBP/USD,533580,525931,98.5664755050789,7649,7564,85,6.0,5.0,2021-06-30T22:00:00+00:00,2022-12-30T17:57:00+00:00
fold3_score,instrument,GBP/USD,708020,697877,98.56741334990538,10143,10013,130,0.0,5.0,2023-01-02T23:00:00+00:00,2024-12-31T18:00:00+00:00
fold1_train,instrument,USD/JPY,530218,522389,98.52343752946902,7829,7749,80,11.0,5.0,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_score,instrument,USD/JPY,1058080,913639,86.34876379857856,144441,12723,131718,2939.0,5.0,2018-01-02T09:06:00+00:00,2020-12-31T16:50:00+00:00
fold2_train,instrument,USD/JPY,532563,524667,98.51735850969744,7896,7691,205,2884.0,5.0,2019-07-01T00:01:00+00:00,2020-12-31T12:50:00+00:00
fold2_score,instrument,USD/JPY,708197,698122,98.57737324501515,10075,9842,233,2885.0,5.0,2021-01-04T00:01:00+00:00,2022-12-30T21:57:00+00:00
fold3_train,instrument,USD/JPY,533580,525934,98.56703774504292,7646,7562,84,8.0,5.0,2021-06-30T22:00:00+00:00,2022-12-30T17:57:00+00:00
fold3_score,instrument,USD/JPY,708020,697855,98.56430609304822,10165,10013,152,16.0,5.0,2023-01-02T23:00:00+00:00,2024-12-31T18:00:00+00:00
fold1_train,feature,USD_PRESSURE_1M,530218,522310,98.50853799757834,7908,7749,159,,,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_train,feature,USD_PRESSURE_5M,530218,522001,98.45026008170224,8217,8058,159,,,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_train,feature,USD_PRESSURE_15M,530218,521233,98.30541399952473,8985,8822,163,,,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_train,feature,USD_PRESSURE_60M,530218,517826,97.66284811153149,12392,12225,167,,,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_train,feature,USD_DISPERSION_15M,530218,521233,98.30541399952473,8985,8822,163,,,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00
fold1_score,feature,USD_PRESSURE_1M,1058080,911040,86.10313019809466,147040,12729,134311,,,2018-01-02T09:07:00+00:00,2020-12-31T16:50:00+00:00
fold1_score,feature,USD_PRESSURE_5M,1058080,900881,85.14299485861181,157199,13290,143909,,,2018-01-02T09:11:00+00:00,2020-12-31T16:50:00+00:00
fold1_score,feature,USD_PRESSURE_15M,1058080,897078,84.7835702404355,161002,14683,146319,,,2018-01-02T09:21:00+00:00,2020-12-31T16:50:00+00:00
fold1_score,feature,USD_PRESSURE_60M,1058080,904970,85.5294495690307,153110,20934,132176,,,2018-01-02T10:06:00+00:00,2020-12-31T16:50:00+00:00
fold1_score,feature,USD_DISPERSION_15M,1058080,897078,84.7835702404355,161002,14683,146319,,,2018-01-02T09:21:00+00:00,2020-12-31T16:50:00+00:00
fold2_train,feature,USD_PRESSURE_1M,532563,524549,98.49520150667621,8014,7697,317,,,2019-07-01T00:02:00+00:00,2020-12-31T12:50:00+00:00
fold2_train,feature,USD_PRESSURE_5M,532563,524219,98.43323700670156,8344,8006,338,,,2019-07-01T00:06:00+00:00,2020-12-31T12:50:00+00:00
fold2_train,feature,USD_PRESSURE_15M,532563,523410,98.28133009615763,9153,8807,346,,,2019-07-01T00:16:00+00:00,2020-12-31T12:50:00+00:00
