start_utc,end_utc,exact_rows
2016-07-04T00:00:00+00:00,2016-07-04T00:01:00+00:00,2
2016-07-04T00:05:00+00:00,2016-07-04T00:05:00+00:00,1
2016-07-04T00:15:00+00:00,2016-07-04T00:15:00+00:00,1
2016-07-04T01:00:00+00:00,2016-07-04T01:00:00+00:00,1
2016-07-11T00:00:00+00:00,2016-07-11T00:01:00+00:00,2
2016-07-11T00:05:00+00:00,2016-07-11T00:05:00+00:00,1
2016-07-11T00:15:00+00:00,2016-07-11T00:15:00+00:00,1
2016-07-11T01:00:00+00:00,2016-07-11T01:00:00+00:00,1
2016-07-18T00:00:00+00:00,2016-07-18T00:01:00+00:00,2
2016-07-18T00:05:00+00:00,2016-07-18T00:05:00+00:00,1
2016-07-18T00:15:00+00:00,2016-07-18T00:15:00+00:00,1
2016-07-18T01:00:00+00:00,2016-07-18T01:00:00+00:00,1
2016-07-25T00:00:00+00:00,2016-07-25T00:01:00+00:00,2
2016-07-25T00:05:00+00:00,2016-07-25T00:05:00+00:00,1
2016-07-25T00:15:00+00:00,2016-07-25T00:15:00+00:00,1
2016-07-25T01:00:00+00:00,2016-07-25T01:00:00+00:00,1
2016-08-01T00:00:00+00:00,2016-08-01T00:01:00+00:00,2
2016-08-01T00:05:00+00:00,2016-08-01T00:05:00+00:00,1
2016-08-01T00:15:00+00:00,2016-08-01T00:15:00+00:00,1
2016-08-01T01:00:00+00:00,2016-08-01T01:00:00+00:00,1
2016-08-08T00:00:00+00:00,2016-08-08T00:01:00+00:00,2
2016-08-08T00:05:00+00:00,2016-08-08T00:05:00+00:00,1
2016-08-08T00:15:00+00:00,2016-08-08T00:15:00+00:00,1
2016-08-08T01:00:00+00:00,2016-08-08T01:00:00+00:00,1
2016-08-15T00:00:00+00:00,2016-08-15T00:01:00+00:00,2
2016-08-15T00:05:00+00:00,2016-08-15T00:05:00+00:00,1
2016-08-15T00:15:00+00:00,2016-08-15T00:15:00+00:00,1
2016-08-15T01:00:00+00:00,2016-08-15T01:00:00+00:00,1
2016-08-22T00:00:00+00:00,2016-08-22T00:01:00+00:00,2
2016-08-22T00:05:00+00:00,2016-08-22T00:05:00+00:00,1
2016-08-22T00:15:00+00:00,2016-08-22T00:15:00+00:00,1
2016-08-22T01:00:00+00:00,2016-08-22T01:00:00+00:00,1
2016-08-29T00:00:00+00:00,2016-08-29T00:01:00+00:00,2
2016-08-29T00:05:00+00:00,2016-08-29T00:05:00+00:00,1
2016-08-29T00:15:00+00:00,2016-08-29T00:15:00+00:00,1
2016-08-29T01:00:00+00:00,2016-08-29T01:00:00+00:00,1
2016-09-05T00:00:00+00:00,2016-09-05T00:01:00+00:00,2
2016-09-05T00:05:00+00:00,2016-09-05T00:05:00+00:00,1
2016-09-05T00:15:00+00:00,2016-09-05T00:15:00+00:00,1
2016-09-05T00:28:00+00:00,2016-09-05T00:29:00+00:00,2
2016-09-05T00:33:00+00:00,2016-09-05T00:33:00+00:00,1
2016-09-05T00:43:00+00:00,2016-09-05T00:43:00+00:00,1
2016-09-05T01:00:00+00:00,2016-09-05T01:00:00+00:00,1
2016-09-05T01:28:00+00:00,2016-09-05T01:28:00+00:00,1
2016-09-05T21:00:00+00:00,2016-09-05T21:00:00+00:00,1
2016-09-05T22:00:00+00:00,2016-09-05T22:00:00+00:00,1
2016-09-12T00:00:00+00:00,2016-09-12T00:01:00+00:00,2
2016-09-12T00:05:00+00:00,2016-09-12T00:05:00+00:00,1
2016-09-12T00:15:00+00:00,2016-09-12T00:15:00+00:00,1
2016-09-12T01:00:00+00:00,2016-09-12T01:00:00+00:00,1
2016-09-19T00:00:00+00:00,2016-09-19T00:01:00+00:00,2
2016-09-19T00:05:00+00:00,2016-09-19T00:05:00+00:00,1
2016-09-19T00:15:00+00:00,2016-09-19T00:15:00+00:00,1
2016-09-19T01:00:00+00:00,2016-09-19T01:00:00+00:00,1
2016-09-26T00:00:00+00:00,2016-09-26T00:01:00+00:00,2
2016-09-26T00:05:00+00:00,2016-09-26T00:05:00+00:00,1
2016-09-26T00:15:00+00:00,2016-09-26T00:15:00+00:00,1
2016-09-26T01:00:00+00:00,2016-09-26T01:00:00+00:00,1
2016-10-03T00:00:00+00:00,2016-10-03T00:01:00+00:00,2
2016-10-03T00:05:00+00:00,2016-10-03T00:05:00+00:00,1
2016-10-03T00:15:00+00:00,2016-10-03T00:15:00+00:00,1
2016-10-03T01:00:00+00:00,2016-10-03T01:00:00+00:00,1
2016-10-10T00:00:00+00:00,2016-10-10T00:01:00+00:00,2
2016-10-10T00:05:00+00:00,2016-10-10T00:05:00+00:00,1
2016-10-10T00:15:00+00:00,2016-10-10T00:15:00+00:00,1
2016-10-10T01:00:00+00:00,2016-10-10T01:00:00+00:00,1
2016-10-17T00:00:00+00:00,2016-10-17T00:01:00+00:00,2
2016-10-17T00:05:00+00:00,2016-10-17T00:05:00+00:00,1
2016-10-17T00:15:00+00:00,2016-10-17T00:15:00+00:00,1
2016-10-17T01:00:00+00:00,2016-10-17T01:00:00+00:00,1
