block,feature,rows,finite,finite_percentage,legitimate_nan,unresolved
fold1_train,USD_PRESSURE_1M,530218,530146,99.98642067979586,62,10
fold1_train,USD_PRESSURE_5M,530218,530146,99.98642067979586,62,10
fold1_train,USD_PRESSURE_15M,530218,530146,99.98642067979586,62,10
fold1_train,USD_PRESSURE_60M,530218,530011,99.96095945441309,139,68
fold1_train,USD_DISPERSION_15M,530218,530146,99.98642067979586,62,10
fold1_score,USD_PRESSURE_1M,1058080,1058050,99.9971646756389,20,10
fold1_score,USD_PRESSURE_5M,1058080,1058042,99.99640858914259,24,14
fold1_score,USD_PRESSURE_15M,1058080,1058024,99.99470739452593,27,29
fold1_score,USD_PRESSURE_60M,1058080,1057561,99.95094888855284,151,368
fold1_score,USD_DISPERSION_15M,1058080,1058024,99.99470739452593,27,29
fold2_train,USD_PRESSURE_1M,532563,532549,99.99737120303138,9,5
fold2_train,USD_PRESSURE_5M,532563,532541,99.99586903333503,13,9
fold2_train,USD_PRESSURE_15M,532563,532523,99.99248915151823,16,24
fold2_train,USD_PRESSURE_60M,532563,532212,99.93409230457242,72,279
fold2_train,USD_DISPERSION_15M,532563,532523,99.99248915151823,16,24
fold2_score,USD_PRESSURE_1M,708197,708180,99.99759953798166,0,17
fold2_score,USD_PRESSURE_5M,708197,708175,99.99689351974098,0,22
fold2_score,USD_PRESSURE_15M,708197,708137,99.99152778111176,0,60
fold2_score,USD_PRESSURE_60M,708197,707531,99.90595837034046,79,587
fold2_score,USD_DISPERSION_15M,708197,708137,99.99152778111176,0,60
fold3_train,USD_PRESSURE_1M,533580,533569,99.99793845346528,0,11
fold3_train,USD_PRESSURE_5M,533580,533565,99.99718880017991,0,15
fold3_train,USD_PRESSURE_15M,533580,533531,99.9908167472544,0,49
fold3_train,USD_PRESSURE_60M,533580,533042,99.89917163311968,60,478
fold3_train,USD_DISPERSION_15M,533580,533531,99.9908167472544,0,49
fold3_score,USD_PRESSURE_1M,708020,701181,99.03406683427022,23,6816
fold3_score,USD_PRESSURE_5M,708020,701145,99.02898223214034,31,6844
fold3_score,USD_PRESSURE_15M,708020,701116,99.02488630264682,33,6871
fold3_score,USD_PRESSURE_60M,708020,700580,98.94918222649078,104,7336
fold3_score,USD_DISPERSION_15M,708020,701116,99.02488630264682,33,6871
