provider,instrument,gap_start_utc,gap_end_utc,missing_minutes,classification
Dukascopy,EUR/USD,2016-07-01T21:00:00+00:00,2016-07-03T21:04:00+00:00,2884,unexplained_source_gap
Dukascopy,EUR/USD,2016-07-03T21:05:00+00:00,2016-07-03T21:07:00+00:00,2,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-03T21:37:00+00:00,2016-07-03T21:38:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-03T21:45:00+00:00,2016-07-03T21:46:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-04T17:06:00+00:00,2016-07-04T17:07:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-04T18:51:00+00:00,2016-07-04T18:52:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-04T19:41:00+00:00,2016-07-04T19:42:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-04T19:43:00+00:00,2016-07-04T19:44:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-04T21:01:00+00:00,2016-07-04T21:02:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-04T21:28:00+00:00,2016-07-04T21:29:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-06T21:48:00+00:00,2016-07-06T21:49:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-07T21:35:00+00:00,2016-07-07T21:36:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-07T21:37:00+00:00,2016-07-07T21:38:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-07T21:43:00+00:00,2016-07-07T21:44:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-08T21:00:00+00:00,2016-07-10T21:00:00+00:00,2880,confirmed_normal_fx_closure
Dukascopy,EUR/USD,2016-07-10T21:01:00+00:00,2016-07-10T21:02:00+00:00,1,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-10T21:42:00+00:00,2016-07-10T21:44:00+00:00,2,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-10T21:45:00+00:00,2016-07-10T21:47:00+00:00,2,confirmed_symbol_specific_quote_gap
Dukascopy,EUR/USD,2016-07-11T21:03:00+00:00,2016-07-11T21:04:00+00:00,1,confirmed_symbol_specific_quote_gap
