provider,instrument,gap_start_utc,gap_end_utc,missing_minutes,classification
XM,EUR/USD,2016-07-01T00:52:00+00:00,2016-07-01T00:53:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-01T23:58:00+00:00,2016-07-04T00:00:00+00:00,2882,confirmed_provider_wide_quote_closure
XM,EUR/USD,2016-07-04T00:01:00+00:00,2016-07-04T00:02:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T00:36:00+00:00,2016-07-04T00:37:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T21:21:00+00:00,2016-07-04T21:22:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T22:26:00+00:00,2016-07-04T22:27:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T22:31:00+00:00,2016-07-04T22:33:00+00:00,2,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T22:38:00+00:00,2016-07-04T22:39:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T22:41:00+00:00,2016-07-04T22:42:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T22:43:00+00:00,2016-07-04T22:44:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T23:19:00+00:00,2016-07-04T23:20:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-04T23:22:00+00:00,2016-07-04T23:24:00+00:00,2,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-05T00:24:00+00:00,2016-07-05T00:25:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-05T00:28:00+00:00,2016-07-05T00:29:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-05T01:18:00+00:00,2016-07-05T01:19:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-05T02:41:00+00:00,2016-07-05T02:42:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-07T00:13:00+00:00,2016-07-07T00:14:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T00:22:00+00:00,2016-07-08T00:23:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T00:35:00+00:00,2016-07-08T00:36:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T00:37:00+00:00,2016-07-08T00:38:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T00:42:00+00:00,2016-07-08T00:43:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T00:44:00+00:00,2016-07-08T00:45:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T00:46:00+00:00,2016-07-08T00:47:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-08T23:58:00+00:00,2016-07-11T00:00:00+00:00,2882,confirmed_provider_wide_quote_closure
XM,EUR/USD,2016-07-11T00:21:00+00:00,2016-07-11T00:22:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-11T00:23:00+00:00,2016-07-11T00:24:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-11T00:45:00+00:00,2016-07-11T00:46:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-11T00:55:00+00:00,2016-07-11T00:56:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-12T00:02:00+00:00,2016-07-12T00:03:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-12T00:49:00+00:00,2016-07-12T00:51:00+00:00,2,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-12T00:53:00+00:00,2016-07-12T00:54:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-13T16:36:00+00:00,2016-07-13T16:37:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-14T00:16:00+00:00,2016-07-14T00:17:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-14T00:20:00+00:00,2016-07-14T00:21:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-14T23:35:00+00:00,2016-07-14T23:36:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-15T00:17:00+00:00,2016-07-15T00:19:00+00:00,2,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-15T23:58:00+00:00,2016-07-18T00:00:00+00:00,2882,confirmed_provider_wide_quote_closure
XM,EUR/USD,2016-07-18T00:23:00+00:00,2016-07-18T00:24:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-20T00:11:00+00:00,2016-07-20T00:12:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-21T00:50:00+00:00,2016-07-21T00:51:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-22T23:58:00+00:00,2016-07-25T00:00:00+00:00,2882,confirmed_provider_wide_quote_closure
XM,EUR/USD,2016-07-25T00:07:00+00:00,2016-07-25T00:08:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-25T00:24:00+00:00,2016-07-25T00:25:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-25T00:29:00+00:00,2016-07-25T00:30:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-25T00:40:00+00:00,2016-07-25T00:43:00+00:00,3,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-25T00:53:00+00:00,2016-07-25T00:54:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-25T00:57:00+00:00,2016-07-25T00:59:00+00:00,2,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-25T23:36:00+00:00,2016-07-25T23:37:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-26T00:08:00+00:00,2016-07-26T00:09:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-26T00:41:00+00:00,2016-07-26T00:42:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-26T06:15:00+00:00,2016-07-26T06:16:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-27T00:03:00+00:00,2016-07-27T00:04:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-07-29T23:58:00+00:00,2016-08-01T00:00:00+00:00,2882,confirmed_provider_wide_quote_closure
XM,EUR/USD,2016-08-01T00:28:00+00:00,2016-08-01T00:29:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-01T00:31:00+00:00,2016-08-01T00:32:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-02T02:39:00+00:00,2016-08-02T02:40:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-02T08:29:00+00:00,2016-08-02T08:30:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-03T00:08:00+00:00,2016-08-03T00:10:00+00:00,2,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-03T00:50:00+00:00,2016-08-03T00:51:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-04T00:12:00+00:00,2016-08-04T00:13:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-04T00:14:00+00:00,2016-08-04T00:15:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-04T00:21:00+00:00,2016-08-04T00:22:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-05T00:04:00+00:00,2016-08-05T00:05:00+00:00,1,confirmed_symbol_specific_quote_gap
XM,EUR/USD,2016-08-05T00:06:00+00:00,2016-08-05T00:07:00+00:00,1,confirmed_symbol_specific_quote_gap
