instrument,gap_start_utc,gap_end_utc,missing_m1_minutes,ticks_returned,last_error
GBP/USD,2016-12-26T13:49:00+00:00,2016-12-26T13:56:00+00:00,7,0,"(1, 'Success')"
GBP/USD,2018-05-23T04:01:00+00:00,2018-05-23T05:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-06-05T09:01:00+00:00,2018-06-05T10:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-06-18T14:01:00+00:00,2018-06-18T15:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-06-29T18:01:00+00:00,2018-06-29T19:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-07-12T23:01:00+00:00,2018-07-13T00:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-07-26T05:01:00+00:00,2018-07-26T06:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-08-08T10:01:00+00:00,2018-08-08T11:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-08-21T15:01:00+00:00,2018-08-21T16:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-09-03T20:01:00+00:00,2018-09-03T21:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2018-09-17T01:01:00+00:00,2018-09-17T02:00:00+00:00,59,0,"(1, 'Success')"
GBP/USD,2021-09-20T00:19:00+00:00,2021-09-20T00:25:00+00:00,6,0,"(1, 'Success')"
USD/JPY,2016-09-05T00:22:00+00:00,2016-09-05T00:28:00+00:00,6,0,"(1, 'Success')"
USD/JPY,2018-05-15T23:01:00+00:00,2018-05-16T00:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-05-29T17:01:00+00:00,2018-05-29T18:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-06-12T10:01:00+00:00,2018-06-12T11:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-06-26T04:01:00+00:00,2018-06-26T05:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-07-09T21:01:00+00:00,2018-07-09T22:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-07-23T15:01:00+00:00,2018-07-23T16:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-08-06T08:01:00+00:00,2018-08-06T09:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-08-20T02:01:00+00:00,2018-08-20T03:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-08-31T18:01:00+00:00,2018-08-31T19:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2018-09-14T12:01:00+00:00,2018-09-14T13:00:00+00:00,59,0,"(1, 'Success')"
USD/JPY,2024-09-30T00:16:00+00:00,2024-09-30T00:32:00+00:00,16,0,"(1, 'Success')"
