provider,instrument,gap_start_utc,gap_end_utc,missing_minutes,classification,native_before_open_utc,native_before_open,native_before_high,native_before_low,native_before_close,native_after_open_utc,native_after_open,native_after_high,native_after_low,native_after_close
Dukascopy,EUR/USD,2016-07-01T21:00:00+00:00,2016-07-03T21:04:00+00:00,2884,unexplained_source_gap,2016-07-01T20:59:00+00:00,1.11374,1.1139,1.11365,1.11365,2016-07-03T21:04:00+00:00,1.11253,1.11324,1.1125,1.11324
Dukascopy,EUR/USD,2016-12-23T22:00:00+00:00,2016-12-25T22:04:00+00:00,2884,unexplained_source_gap,2016-12-23T21:59:00+00:00,1.04545,1.04548,1.04532,1.04532,2016-12-25T22:04:00+00:00,1.04416,1.04516,1.04405,1.04405
Dukascopy,EUR/USD,2016-12-26T17:27:00+00:00,2016-12-26T17:39:00+00:00,12,unexplained_source_gap,2016-12-26T17:26:00+00:00,1.045,1.045,1.045,1.045,2016-12-26T17:39:00+00:00,1.045,1.045,1.045,1.045
Dukascopy,EUR/USD,2016-12-26T20:28:00+00:00,2016-12-26T20:35:00+00:00,7,unexplained_source_gap,2016-12-26T20:27:00+00:00,1.04552,1.04563,1.04552,1.04563,2016-12-26T20:35:00+00:00,1.04562,1.04562,1.04562,1.04562
Dukascopy,EUR/USD,2017-01-02T04:02:00+00:00,2017-01-02T04:08:00+00:00,6,unexplained_source_gap,2017-01-02T04:01:00+00:00,1.05191,1.05191,1.05191,1.05191,2017-01-02T04:08:00+00:00,1.05187,1.05187,1.05187,1.05187
Dukascopy,EUR/USD,2017-04-14T21:00:00+00:00,2017-04-16T21:03:00+00:00,2883,unexplained_source_gap,2017-04-14T20:59:00+00:00,1.06101,1.06105,1.06101,1.06105,2017-04-16T21:03:00+00:00,1.06129,1.06129,1.06128,1.06128
Dukascopy,EUR/USD,2018-03-16T21:00:00+00:00,2018-03-18T21:02:00+00:00,2882,unexplained_source_gap,2018-03-16T20:59:00+00:00,1.22893,1.22906,1.22888,1.22889,2018-03-18T21:02:00+00:00,1.22817,1.22819,1.22805,1.22819
Dukascopy,EUR/USD,2018-07-06T21:00:00+00:00,2018-07-08T21:02:00+00:00,2882,unexplained_source_gap,2018-07-06T20:59:00+00:00,1.1742,1.17445,1.17417,1.17444,2018-07-08T21:02:00+00:00,1.17392,1.17392,1.17392,1.17392
Dukascopy,EUR/USD,2018-12-24T22:00:00+00:00,2018-12-24T22:06:00+00:00,6,unexplained_source_gap,2018-12-24T21:59:00+00:00,1.13972,1.13988,1.13972,1.13988,2018-12-24T22:06:00+00:00,1.13976,1.13976,1.1391,1.1391
Dukascopy,EUR/USD,2018-12-25T07:59:00+00:00,2018-12-25T22:01:00+00:00,842,unexplained_source_gap,2018-12-25T07:58:00+00:00,1.13999,1.13999,1.13988,1.13988,2018-12-25T22:01:00+00:00,1.13901,1.13944,1.13892,1.13943
Dukascopy,EUR/USD,2018-12-31T22:00:00+00:00,2019-01-01T22:02:00+00:00,1442,unexplained_source_gap,2018-12-31T21:59:00+00:00,1.14671,1.14671,1.14635,1.14644,2019-01-01T22:02:00+00:00,1.14598,1.14599,1.14598,1.14598
Dukascopy,EUR/USD,2019-03-22T21:00:00+00:00,2019-03-24T21:05:00+00:00,2885,unexplained_source_gap,2019-03-22T20:59:00+00:00,1.1301,1.13012,1.12991,1.13004,2019-03-24T21:05:00+00:00,1.12892,1.12916,1.12892,1.12916
Dukascopy,EUR/USD,2019-08-16T21:00:00+00:00,2019-08-18T21:01:00+00:00,2881,unexplained_source_gap,2019-08-16T20:59:00+00:00,1.109,1.10905,1.10899,1.10899,2019-08-18T21:01:00+00:00,1.10925,1.10926,1.10924,1.10925
Dukascopy,EUR/USD,2019-08-30T20:59:00+00:00,2019-09-01T21:04:00+00:00,2885,unexplained_source_gap,2019-08-30T20:58:00+00:00,1.09902,1.09904,1.0988,1.0988,2019-09-01T21:04:00+00:00,1.09893,1.09893,1.09893,1.09893
Dukascopy,EUR/USD,2019-12-27T22:00:00+00:00,2019-12-29T22:03:00+00:00,2883,unexplained_source_gap,2019-12-27T21:59:00+00:00,1.11757,1.11758,1.11712,1.11713,2019-12-29T22:03:00+00:00,1.11736,1.11739,1.11736,1.11739
Dukascopy,EUR/USD,2019-12-31T22:00:00+00:00,2020-01-01T22:02:00+00:00,1442,unexplained_source_gap,2019-12-31T21:59:00+00:00,1.12099,1.12115,1.12076,1.12076,2020-01-01T22:02:00+00:00,1.12136,1.12139,1.12136,1.12139
Dukascopy,EUR/USD,2020-03-20T21:00:00+00:00,2020-03-22T21:06:00+00:00,2886,unexplained_source_gap,2020-03-20T20:59:00+00:00,1.06987,1.06989,1.06929,1.06929,2020-03-22T21:06:00+00:00,1.07011,1.07032,1.07011,1.07029
Dukascopy,EUR/USD,2020-03-27T21:00:00+00:00,2020-03-29T21:01:00+00:00,2881,unexplained_source_gap,2020-03-27T20:59:00+00:00,1.1134,1.11384,1.11339,1.11379,2020-03-29T21:01:00+00:00,1.11172,1.11172,1.11172,1.11172
Dukascopy,EUR/USD,2020-05-15T21:00:00+00:00,2020-05-17T21:02:00+00:00,2882,unexplained_source_gap,2020-05-15T20:59:00+00:00,1.08178,1.08222,1.08174,1.08183,2020-05-17T21:02:00+00:00,1.08088,1.08088,1.08088,1.08088
Dukascopy,EUR/USD,2020-06-26T21:00:00+00:00,2020-06-28T21:01:00+00:00,2881,unexplained_source_gap,2020-06-26T20:59:00+00:00,1.12182,1.12191,1.12162,1.1217,2020-06-28T21:01:00+00:00,1.12149,1.12163,1.12149,1.12163
Dukascopy,EUR/USD,2020-07-17T21:00:00+00:00,2020-07-19T21:04:00+00:00,2884,unexplained_source_gap,2020-07-17T20:59:00+00:00,1.14272,1.14274,1.14261,1.14269,2020-07-19T21:04:00+00:00,1.14084,1.14084,1.14084,1.14084
Dukascopy,EUR/USD,2020-08-11T21:51:00+00:00,2020-08-11T21:57:00+00:00,6,unexplained_source_gap,2020-08-11T21:50:00+00:00,1.17435,1.17435,1.17427,1.17427,2020-08-11T21:57:00+00:00,1.17429,1.17433,1.17427,1.17433
Dukascopy,EUR/USD,2020-08-25T21:05:00+00:00,2020-08-25T21:11:00+00:00,6,unexplained_source_gap,2020-08-25T21:04:00+00:00,1.18345,1.18345,1.18345,1.18345,2020-08-25T21:11:00+00:00,1.18355,1.18355,1.18355,1.18355
Dukascopy,EUR/USD,2020-08-27T21:14:00+00:00,2020-08-27T21:20:00+00:00,6,unexplained_source_gap,2020-08-27T21:13:00+00:00,1.18196,1.18196,1.18196,1.18196,2020-08-27T21:20:00+00:00,1.18199,1.18199,1.18199,1.18199
Dukascopy,EUR/USD,2020-08-28T21:00:00+00:00,2020-08-30T21:03:00+00:00,2883,unexplained_source_gap,2020-08-28T20:59:00+00:00,1.19042,1.19046,1.18993,1.19018,2020-08-30T21:03:00+00:00,1.18998,1.18998,1.18998,1.18998
Dukascopy,EUR/USD,2020-09-09T21:34:00+00:00,2020-09-09T21:46:00+00:00,12,unexplained_source_gap,2020-09-09T21:33:00+00:00,1.18024,1.18024,1.18023,1.18023,2020-09-09T21:46:00+00:00,1.18026,1.18026,1.18026,1.18026
Dukascopy,EUR/USD,2020-09-10T21:06:00+00:00,2020-09-10T21:12:00+00:00,6,unexplained_source_gap,2020-09-10T21:05:00+00:00,1.1813,1.1813,1.1813,1.1813,2020-09-10T21:12:00+00:00,1.18141,1.18144,1.1813,1.18131
Dukascopy,EUR/USD,2020-09-24T21:43:00+00:00,2020-09-24T21:49:00+00:00,6,unexplained_source_gap,2020-09-24T21:42:00+00:00,1.16712,1.16715,1.1671,1.16711,2020-09-24T21:49:00+00:00,1.16711,1.16725,1.1671,1.1671
