request_id,pair,unresolved,gold_rows_in_conservative_65m_envelope
R0000,EUR/USD,True,0
R0001,EUR/USD,True,0
R0002,EUR/USD,True,0
R0003,EUR/USD,True,0
R0004,EUR/USD,True,0
R0005,EUR/USD,True,0
R0006,EUR/USD,True,0
R0007,EUR/USD,True,0
R0008,EUR/USD,False,117
R0009,EUR/USD,True,0
R0010,EUR/USD,True,0
R0011,EUR/USD,True,0
R0012,EUR/USD,True,0
R0013,EUR/USD,True,0
R0014,EUR/USD,True,0
R0015,EUR/USD,True,0
R0016,EUR/USD,True,0
R0017,EUR/USD,True,0
R0018,EUR/USD,True,0
R0019,EUR/USD,True,0
R0020,EUR/USD,True,0
R0021,EUR/USD,True,0
R0022,EUR/USD,True,0
R0023,EUR/USD,True,0
R0024,EUR/USD,True,0
R0025,EUR/USD,True,0
R0026,EUR/USD,True,0
R0027,EUR/USD,True,0
R0028,EUR/USD,True,5
R0029,EUR/USD,False,0
R0030,EUR/USD,False,0
R0031,EUR/USD,True,0
R0032,EUR/USD,True,0
R0033,EUR/USD,True,0
R0034,EUR/USD,True,0
R0035,EUR/USD,True,0
R0036,EUR/USD,True,0
R0037,EUR/USD,True,0
R0038,EUR/USD,True,0
R0039,EUR/USD,False,0
R0040,EUR/USD,True,0
R0041,EUR/USD,True,0
R0042,EUR/USD,True,0
R0043,EUR/USD,True,0
R0044,EUR/USD,True,0
R0045,EUR/USD,True,0
R0046,EUR/USD,True,0
R0047,EUR/USD,True,0
R0048,EUR/USD,False,0
R0049,EUR/USD,False,117
R0050,EUR/USD,True,0
R0051,EUR/USD,True,0
R0052,EUR/USD,True,0
R0053,EUR/USD,True,0
R0054,EUR/USD,True,0
R0055,EUR/USD,True,0
R0056,EUR/USD,True,0
R0057,EUR/USD,True,0
R0058,EUR/USD,True,0
R0059,EUR/USD,True,0
R0060,EUR/USD,True,0
R0061,EUR/USD,True,0
R0062,EUR/USD,True,0
R0063,EUR/USD,True,0
R0064,EUR/USD,True,0
R0065,EUR/USD,True,0
R0066,EUR/USD,True,0
R0067,EUR/USD,True,0
R0068,EUR/USD,True,0
R0069,EUR/USD,True,0
R0070,EUR/USD,True,0
R0071,EUR/USD,True,0
R0072,EUR/USD,True,0
R0073,EUR/USD,True,0
R0074,EUR/USD,True,0
R0075,EUR/USD,True,0
R0076,EUR/USD,True,0
R0077,EUR/USD,True,0
R0078,EUR/USD,True,0
R0079,EUR/USD,True,0
R0080,EUR/USD,True,0
R0081,EUR/USD,True,0
R0082,EUR/USD,True,0
R0083,EUR/USD,True,0
R0084,EUR/USD,False,63
R0085,EUR/USD,True,0
R0086,EUR/USD,True,0
R0087,EUR/USD,True,0
R0088,EUR/USD,True,0
R0089,EUR/USD,True,0
R0090,EUR/USD,True,0
R0091,EUR/USD,True,0
R0092,EUR/USD,True,0
R0093,EUR/USD,True,0
R0094,EUR/USD,True,0
R0095,EUR/USD,True,0
R0096,EUR/USD,True,0
R0097,EUR/USD,False,65
R0098,EUR/USD,False,5
R0099,EUR/USD,False,63
R0100,EUR/USD,True,0
R0101,EUR/USD,True,0
R0102,EUR/USD,True,0
R0103,EUR/USD,True,0
R0104,EUR/USD,True,0
R0105,EUR/USD,True,0
R0106,EUR/USD,True,0
R0107,EUR/USD,True,0
R0108,EUR/USD,True,0
R0109,EUR/USD,True,0
R0110,EUR/USD,True,0
R0111,EUR/USD,True,0
R0112,EUR/USD,False,65
R0113,EUR/USD,True,0
R0114,EUR/USD,True,0
R0115,EUR/USD,True,0
R0116,EUR/USD,True,0
R0117,EUR/USD,True,0
R0118,EUR/USD,True,0
R0119,EUR/USD,False,65
R0120,EUR/USD,False,117
R0121,EUR/USD,True,0
R0122,EUR/USD,True,0
R0123,EUR/USD,False,124
R0124,EUR/USD,True,0
R0125,EUR/USD,True,0
R0126,EUR/USD,True,0
R0127,EUR/USD,True,0
R0128,EUR/USD,True,0
R0129,EUR/USD,True,0
R0130,EUR/USD,True,0
R0131,EUR/USD,True,0
R0132,EUR/USD,True,0
R0133,EUR/USD,True,0
R0134,EUR/USD,True,0
R0135,EUR/USD,False,0
R0136,EUR/USD,False,0
R0137,EUR/USD,True,0
R0138,EUR/USD,True,0
R0139,EUR/USD,True,0
R0140,EUR/USD,True,0
R0141,EUR/USD,True,0
R0142,EUR/USD,True,5
R0143,EUR/USD,True,0
R0144,EUR/USD,True,0
R0145,EUR/USD,True,0
R0146,EUR/USD,True,0
R0147,EUR/USD,True,0
R0148,EUR/USD,True,0
R0149,EUR/USD,True,0
R0150,EUR/USD,True,4
R0151,EUR/USD,False,63
R0152,EUR/USD,False,65
R0153,EUR/USD,True,0
R0154,EUR/USD,True,0
R0155,EUR/USD,True,0
R0156,EUR/USD,True,0
R0157,EUR/USD,True,0
R0158,EUR/USD,True,0
R0159,EUR/USD,True,0
R0160,EUR/USD,True,0
R0161,EUR/USD,True,0
R0162,EUR/USD,True,0
R0163,EUR/USD,True,0
R0164,EUR/USD,True,0
R0165,EUR/USD,True,0
R0166,EUR/USD,True,0
R0167,EUR/USD,True,0
R0168,EUR/USD,True,0
R0169,EUR/USD,True,0
R0170,EUR/USD,True,0
R0171,EUR/USD,True,0
R0172,EUR/USD,True,0
R0173,EUR/USD,True,0
R0174,EUR/USD,True,0
R0175,EUR/USD,True,0
R0176,EUR/USD,True,0
R0177,EUR/USD,True,0
R0178,EUR/USD,True,0
R0179,EUR/USD,True,0
R0180,EUR/USD,True,0
R0181,EUR/USD,True,0
R0182,EUR/USD,True,5
R0183,EUR/USD,False,65
R0184,EUR/USD,True,0
R0185,EUR/USD,True,0
R0186,EUR/USD,True,0
R0187,EUR/USD,True,0
R0188,EUR/USD,True,0
R0189,EUR/USD,True,0
R0190,EUR/USD,True,0
R0191,EUR/USD,True,0
R0192,EUR/USD,True,0
R0193,EUR/USD,True,0
R0194,EUR/USD,True,0
R0195,EUR/USD,True,0
R0196,EUR/USD,True,0
R0197,EUR/USD,True,0
R0198,EUR/USD,False,0
R0199,EUR/USD,False,0
R0200,EUR/USD,True,0
R0201,EUR/USD,True,0
R0202,EUR/USD,True,0
R0203,EUR/USD,False,65
R0204,EUR/USD,False,124
R0205,EUR/USD,True,0
R0206,EUR/USD,True,0
R0207,EUR/USD,True,0
R0208,EUR/USD,True,0
R0209,EUR/USD,True,0
R0210,EUR/USD,True,0
R0211,EUR/USD,True,0
R0212,EUR/USD,False,124
R0213,EUR/USD,False,63
R0214,EUR/USD,False,124
R0215,EUR/USD,False,124
R0216,EUR/USD,True,0
R0217,EUR/USD,True,0
R0218,EUR/USD,True,0
R0219,EUR/USD,True,5
R0220,EUR/USD,False,65
R0221,EUR/USD,False,0
R0222,EUR/USD,True,0
R0223,EUR/USD,True,0
R0224,GBP/USD,True,0
R0225,GBP/USD,True,0
R0226,GBP/USD,True,0
R0227,GBP/USD,True,0
R0228,GBP/USD,True,0
R0229,GBP/USD,True,0
R0230,GBP/USD,True,0
R0231,GBP/USD,True,0
R0232,GBP/USD,True,0
R0233,GBP/USD,True,0
R0234,GBP/USD,True,0
R0235,GBP/USD,True,0
R0236,GBP/USD,False,0
R0237,GBP/USD,False,0
R0238,GBP/USD,False,0
R0239,GBP/USD,False,0
R0240,GBP/USD,False,0
R0241,GBP/USD,True,0
R0242,GBP/USD,True,0
R0243,GBP/USD,True,0
R0244,GBP/USD,True,0
R0245,GBP/USD,True,0
R0246,GBP/USD,True,0
R0247,GBP/USD,True,0
R0248,GBP/USD,True,0
R0249,GBP/USD,True,0
R0250,GBP/USD,True,0
R0251,GBP/USD,True,0
R0252,GBP/USD,True,0
R0253,GBP/USD,True,0
R0254,GBP/USD,True,0
R0255,GBP/USD,True,0
R0256,GBP/USD,True,0
R0257,GBP/USD,True,0
R0258,GBP/USD,True,0
R0259,GBP/USD,True,0
R0260,GBP/USD,True,0
R0261,GBP/USD,True,0
R0262,GBP/USD,True,0
R0263,GBP/USD,True,0
R0264,GBP/USD,True,0
R0265,GBP/USD,True,0
R0266,GBP/USD,True,0
R0267,GBP/USD,True,0
R0268,GBP/USD,True,0
R0269,GBP/USD,True,0
R0270,GBP/USD,False,117
R0271,GBP/USD,True,0
R0272,GBP/USD,True,0
R0273,GBP/USD,True,0
R0274,GBP/USD,True,0
R0275,GBP/USD,True,0
R0276,GBP/USD,True,0
R0277,GBP/USD,True,0
R0278,GBP/USD,True,0
R0279,GBP/USD,True,0
R0280,GBP/USD,True,0
R0281,GBP/USD,True,0
R0282,GBP/USD,True,0
R0283,GBP/USD,True,0
R0284,GBP/USD,True,0
R0285,GBP/USD,True,0
R0286,GBP/USD,True,0
R0287,GBP/USD,True,0
R0288,GBP/USD,True,0
R0289,GBP/USD,True,0
R0290,GBP/USD,True,0
R0291,GBP/USD,True,0
R0292,GBP/USD,True,0
R0293,GBP/USD,True,0
R0294,GBP/USD,True,0
R0295,GBP/USD,False,117
R0296,GBP/USD,True,0
R0297,GBP/USD,True,0
R0298,GBP/USD,True,0
R0299,GBP/USD,True,0
R0300,GBP/USD,True,0
R0301,GBP/USD,True,0
R0302,GBP/USD,True,0
R0303,GBP/USD,True,0
R0304,GBP/USD,True,0
R0305,GBP/USD,True,0
R0306,GBP/USD,True,0
R0307,GBP/USD,True,0
R0308,GBP/USD,True,0
R0309,GBP/USD,True,5
R0310,GBP/USD,False,117
R0311,GBP/USD,False,57
R0312,GBP/USD,True,0
R0313,GBP/USD,True,0
R0314,GBP/USD,True,0
R0315,GBP/USD,True,0
R0316,GBP/USD,True,0
R0317,GBP/USD,True,0
R0318,GBP/USD,True,0
R0319,GBP/USD,True,0
R0320,GBP/USD,True,0
R0321,GBP/USD,True,0
R0322,GBP/USD,True,0
R0323,GBP/USD,True,0
R0324,GBP/USD,True,0
R0325,GBP/USD,True,0
R0326,GBP/USD,True,0
R0327,GBP/USD,True,0
R0328,GBP/USD,True,0
R0329,GBP/USD,True,0
R0330,GBP/USD,True,0
R0331,GBP/USD,True,0
R0332,GBP/USD,True,0
R0333,GBP/USD,True,0
R0334,GBP/USD,True,0
R0335,GBP/USD,True,0
R0336,GBP/USD,True,0
R0337,GBP/USD,False,0
