request_id	pair	from_ms	to_ms	kind
R0000	EUR/USD	1467428400000	1467432000000	retrieval_error_hour
R0001	EUR/USD	1467435600000	1467439200000	retrieval_error_hour
R0002	EUR/USD	1482620400000	1482624000000	retrieval_error_hour
R0003	EUR/USD	1492218000000	1492221600000	retrieval_error_hour
R0004	EUR/USD	1521302400000	1521306000000	retrieval_error_hour
R0005	EUR/USD	1521324000000	1521327600000	retrieval_error_hour
R0006	EUR/USD	1521363600000	1521367200000	retrieval_error_hour
R0007	EUR/USD	1521399600000	1521403200000	retrieval_error_hour
R0008	EUR/USD	1530903600000	1530907200000	retrieval_error_hour
R0009	EUR/USD	1530921600000	1530925200000	retrieval_error_hour
R0010	EUR/USD	1530928800000	1530932400000	retrieval_error_hour
R0011	EUR/USD	1530932400000	1530936000000	retrieval_error_hour
R0012	EUR/USD	1530939600000	1530943200000	retrieval_error_hour
R0013	EUR/USD	1530946800000	1530950400000	retrieval_error_hour
R0014	EUR/USD	1530954000000	1530957600000	retrieval_error_hour
R0015	EUR/USD	1530957600000	1530961200000	retrieval_error_hour
R0016	EUR/USD	1530982800000	1530986400000	retrieval_error_hour
R0017	EUR/USD	1530997200000	1531000800000	retrieval_error_hour
R0018	EUR/USD	1531000800000	1531004400000	retrieval_error_hour
R0019	EUR/USD	1531011600000	1531015200000	retrieval_error_hour
R0020	EUR/USD	1531018800000	1531022400000	retrieval_error_hour
R0021	EUR/USD	1531026000000	1531029600000	retrieval_error_hour
R0022	EUR/USD	1531040400000	1531044000000	retrieval_error_hour
R0023	EUR/USD	1531044000000	1531047600000	retrieval_error_hour
R0024	EUR/USD	1531051200000	1531054800000	retrieval_error_hour
R0025	EUR/USD	1531054800000	1531058400000	retrieval_error_hour
R0026	EUR/USD	1531065600000	1531069200000	retrieval_error_hour
R0027	EUR/USD	1531069200000	1531072800000	retrieval_error_hour
R0028	EUR/USD	1531080000000	1531083600000	retrieval_error_hour
R0029	EUR/USD	1545717600000	1545721200000	retrieval_error_hour
R0030	EUR/USD	1545721200000	1545724800000	retrieval_error_hour
R0031	EUR/USD	1545724800000	1545728400000	retrieval_error_hour
R0032	EUR/USD	1545732000000	1545735600000	retrieval_error_hour
R0033	EUR/USD	1545735600000	1545739200000	retrieval_error_hour
R0034	EUR/USD	1545746400000	1545750000000	retrieval_error_hour
R0035	EUR/USD	1545753600000	1545757200000	retrieval_error_hour
R0036	EUR/USD	1545757200000	1545760800000	retrieval_error_hour
R0037	EUR/USD	1545760800000	1545764400000	retrieval_error_hour
R0038	EUR/USD	1545771600000	1545775200000	retrieval_error_hour
R0039	EUR/USD	1546290000000	1546293600000	retrieval_error_hour
R0040	EUR/USD	1546308000000	1546311600000	retrieval_error_hour
R0041	EUR/USD	1546333200000	1546336800000	retrieval_error_hour
R0042	EUR/USD	1546336800000	1546340400000	retrieval_error_hour
R0043	EUR/USD	1546358400000	1546362000000	retrieval_error_hour
R0044	EUR/USD	1546362000000	1546365600000	retrieval_error_hour
R0045	EUR/USD	1546365600000	1546369200000	retrieval_error_hour
R0046	EUR/USD	1546372800000	1546376400000	retrieval_error_hour
R0047	EUR/USD	1546376400000	1546380000000	retrieval_error_hour
R0048	EUR/USD	1546380000000	1546383600000	retrieval_error_hour
R0049	EUR/USD	1553281200000	1553284800000	retrieval_error_hour
R0050	EUR/USD	1553292000000	1553295600000	retrieval_error_hour
R0051	EUR/USD	1553295600000	1553299200000	retrieval_error_hour
R0052	EUR/USD	1553310000000	1553313600000	retrieval_error_hour
R0053	EUR/USD	1553335200000	1553338800000	retrieval_error_hour
R0054	EUR/USD	1553346000000	1553349600000	retrieval_error_hour
R0055	EUR/USD	1553425200000	1553428800000	retrieval_error_hour
R0056	EUR/USD	1566046800000	1566050400000	retrieval_error_hour
R0057	EUR/USD	1566104400000	1566108000000	retrieval_error_hour
R0058	EUR/USD	1566126000000	1566129600000	retrieval_error_hour
R0059	EUR/USD	1567227600000	1567231200000	retrieval_error_hour
R0060	EUR/USD	1567292400000	1567296000000	retrieval_error_hour
R0061	EUR/USD	1567296000000	1567299600000	retrieval_error_hour
R0062	EUR/USD	1577484000000	1577487600000	retrieval_error_hour
R0063	EUR/USD	1577548800000	1577552400000	retrieval_error_hour
R0064	EUR/USD	1577570400000	1577574000000	retrieval_error_hour
R0065	EUR/USD	1577574000000	1577577600000	retrieval_error_hour
R0066	EUR/USD	1577642400000	1577646000000	retrieval_error_hour
R0067	EUR/USD	1584806400000	1584810000000	retrieval_error_hour
R0068	EUR/USD	1585393200000	1585396800000	retrieval_error_hour
R0069	EUR/USD	1585396800000	1585400400000	retrieval_error_hour
R0070	EUR/USD	1585400400000	1585404000000	retrieval_error_hour
R0071	EUR/USD	1585407600000	1585411200000	retrieval_error_hour
R0072	EUR/USD	1585450800000	1585454400000	retrieval_error_hour
R0073	EUR/USD	1589594400000	1589598000000	retrieval_error_hour
R0074	EUR/USD	1589619600000	1589623200000	retrieval_error_hour
R0075	EUR/USD	1589637600000	1589641200000	retrieval_error_hour
R0076	EUR/USD	1589695200000	1589698800000	retrieval_error_hour
R0077	EUR/USD	1593309600000	1593313200000	retrieval_error_hour
R0078	EUR/USD	1593334800000	1593338400000	retrieval_error_hour
R0079	EUR/USD	1595048400000	1595052000000	retrieval_error_hour
R0080	EUR/USD	1595120400000	1595124000000	retrieval_error_hour
R0081	EUR/USD	1595127600000	1595131200000	retrieval_error_hour
R0082	EUR/USD	1595167200000	1595170800000	retrieval_error_hour
R0083	EUR/USD	1595174400000	1595178000000	retrieval_error_hour
R0084	EUR/USD	1598385600000	1598389200000	retrieval_error_hour
R0085	EUR/USD	1598652000000	1598655600000	retrieval_error_hour
R0086	EUR/USD	1598763600000	1598767200000	retrieval_error_hour
R0087	EUR/USD	1598770800000	1598774400000	retrieval_error_hour
R0088	EUR/USD	1598778000000	1598781600000	retrieval_error_hour
R0089	EUR/USD	1608890400000	1608894000000	retrieval_error_hour
R0090	EUR/USD	1608919200000	1608922800000	retrieval_error_hour
R0091	EUR/USD	1608944400000	1608948000000	retrieval_error_hour
R0092	EUR/USD	1608958800000	1608962400000	retrieval_error_hour
R0093	EUR/USD	1608969600000	1608973200000	retrieval_error_hour
R0094	EUR/USD	1609016400000	1609020000000	retrieval_error_hour
R0095	EUR/USD	1609045200000	1609048800000	retrieval_error_hour
R0096	EUR/USD	1609077600000	1609081200000	retrieval_error_hour
R0097	EUR/USD	1609106400000	1609110000000	retrieval_error_hour
R0098	EUR/USD	1611003600000	1611007200000	retrieval_error_hour
R0099	EUR/USD	1619467200000	1619470800000	retrieval_error_hour
