pair,minute_open_utc,max_abs_native_tick_difference,within_tolerance,three_way_resolved
EUR/USD,2018-07-06T19:00:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:01:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:02:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:03:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:04:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:05:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:06:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:07:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:08:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:09:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:10:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:11:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:12:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:13:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:14:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:15:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:16:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:17:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:18:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:19:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:20:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:21:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:22:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:23:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:24:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:25:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:26:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:27:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:28:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:29:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:30:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:31:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:32:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:33:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:34:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:35:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:36:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:37:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:38:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:39:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:40:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:41:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:42:00+00:00,0.0,True,True
EUR/USD,2018-07-06T19:43:00+00:00,0.0,True,True
