request_id,pair,hour_utc,state,disposition,jforex_bar_count,getTicks_success,readTicks_success,getTicks_count,readTicks_count,getTicks_normalized_sha256,readTicks_normalized_sha256
R0000,EUR/USD,2016-07-02T03:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0001,EUR/USD,2016-07-02T05:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0002,EUR/USD,2016-12-24T23:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0003,EUR/USD,2017-04-15T01:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0004,EUR/USD,2018-03-17T16:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0005,EUR/USD,2018-03-17T22:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0006,EUR/USD,2018-03-18T09:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0007,EUR/USD,2018-03-18T19:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0008,EUR/USD,2018-07-06T19:00:00+00:00,ticks,recovered_ticks,60,True,True,2616,2616,3f031730468d7d9381a4afc04a475c7d54c15227e1682bd7675a191e74355830,3f031730468d7d9381a4afc04a475c7d54c15227e1682bd7675a191e74355830
R0009,EUR/USD,2018-07-07T00:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0010,EUR/USD,2018-07-07T02:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0011,EUR/USD,2018-07-07T03:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0012,EUR/USD,2018-07-07T05:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0013,EUR/USD,2018-07-07T07:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0014,EUR/USD,2018-07-07T09:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0015,EUR/USD,2018-07-07T10:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0016,EUR/USD,2018-07-07T17:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0017,EUR/USD,2018-07-07T21:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0018,EUR/USD,2018-07-07T22:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0019,EUR/USD,2018-07-08T01:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
R0020,EUR/USD,2018-07-08T03:00:00+00:00,independent_zero_ticks,jforex_bar_only_evidence,60,True,True,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
