Date,5 YR,7 YR,10 YR,20 YR,30 YR
01/04/2010,0.52,0.97,1.47,2.04,
01/05/2010,0.44,0.91,1.43,1.97,
01/06/2010,0.44,0.94,1.48,2.03,
01/07/2010,0.43,0.91,1.44,2.02,
01/08/2010,0.39,0.88,1.41,2.0,
01/11/2010,0.46,0.88,1.47,2.04,
01/12/2010,0.34,0.78,1.35,1.96,
01/13/2010,0.42,0.86,1.43,2.05,
01/14/2010,0.39,0.84,1.4,2.01,
01/15/2010,0.34,0.78,1.34,2.0,
01/19/2010,0.39,0.77,1.35,2.01,
01/20/2010,0.36,0.74,1.31,1.98,
01/21/2010,0.4,0.83,1.29,1.95,
01/22/2010,0.42,0.84,1.31,1.96,
01/25/2010,0.42,0.85,1.33,2.0,
01/26/2010,0.41,0.83,1.31,1.99,
01/27/2010,0.47,0.89,1.35,2.0,
01/28/2010,0.47,0.89,1.35,1.97,
01/29/2010,0.43,0.85,1.3,1.93,
02/01/2010,0.39,0.81,1.29,1.92,
02/02/2010,0.35,0.79,1.26,1.91,
02/03/2010,0.35,0.8,1.3,1.96,
02/04/2010,0.3,0.75,1.27,1.93,
02/05/2010,0.34,0.8,1.32,1.97,
02/08/2010,0.35,0.81,1.35,1.98,
02/09/2010,0.38,0.85,1.37,2.01,
02/10/2010,0.42,0.89,1.44,2.08,
02/11/2010,0.43,0.92,1.47,2.13,
02/12/2010,0.39,0.88,1.46,2.12,
02/16/2010,0.37,0.87,1.42,2.09,
02/17/2010,0.39,0.88,1.46,2.12,
02/18/2010,0.44,0.95,1.48,2.13,
02/19/2010,0.51,1.01,1.52,2.14,
02/22/2010,0.55,1.09,1.55,2.04,2.22
02/23/2010,0.47,1.0,1.5,2.0,2.14
02/24/2010,0.5,1.03,1.51,2.0,2.16
02/25/2010,0.5,1.03,1.51,2.01,2.16
02/26/2010,0.47,0.99,1.48,1.98,2.13
03/01/2010,0.45,0.98,1.46,1.98,2.14
03/02/2010,0.44,0.98,1.46,1.98,2.14
03/03/2010,0.43,0.97,1.46,1.99,2.15
03/04/2010,0.44,0.96,1.44,1.96,2.12
03/05/2010,0.46,1.0,1.48,1.99,2.15
03/08/2010,0.49,1.03,1.49,2.0,2.17
03/09/2010,0.46,0.99,1.48,2.02,2.19
03/10/2010,0.48,1.01,1.49,2.0,2.18
