date,5 yr,7 yr,10 yr,20 yr,30 yr
01/02/2020,-0.05,0.01,0.08,0.32,0.5
01/03/2020,-0.1,-0.05,0.03,0.26,0.45
01/06/2020,-0.08,-0.02,0.06,0.29,0.48
01/07/2020,-0.05,0.01,0.09,0.33,0.52
01/08/2020,-0.01,0.04,0.12,0.35,0.54
01/09/2020,-0.02,0.03,0.11,0.33,0.52
01/10/2020,-0.04,0.01,0.07,0.29,0.47
01/13/2020,-0.05,0.01,0.08,0.3,0.48
01/14/2020,-0.07,-0.02,0.05,0.27,0.46
01/15/2020,-0.07,-0.02,0.04,0.26,0.44
01/16/2020,-0.05,0.0,0.07,0.29,0.46
01/17/2020,-0.05,0.01,0.09,0.31,0.49
01/21/2020,-0.09,-0.04,0.04,0.27,0.44
01/22/2020,-0.07,-0.02,0.05,0.27,0.44
01/23/2020,-0.09,-0.04,0.04,0.25,0.41
01/24/2020,-0.11,-0.06,0.02,0.22,0.38
01/27/2020,-0.12,-0.08,-0.02,0.17,0.33
01/28/2020,-0.12,-0.07,0.0,0.2,0.36
01/29/2020,-0.17,-0.12,-0.04,0.17,0.32
01/30/2020,-0.2,-0.15,-0.07,0.14,0.3
01/31/2020,-0.28,-0.22,-0.14,0.09,0.26
02/03/2020,-0.21,-0.16,-0.09,0.13,0.3
02/04/2020,-0.16,-0.11,-0.03,0.19,0.36
02/05/2020,-0.15,-0.09,0.0,0.23,0.4
02/06/2020,-0.16,-0.11,-0.02,0.21,0.36
02/07/2020,-0.2,-0.15,-0.07,0.15,0.31
02/10/2020,-0.24,-0.18,-0.1,0.14,0.3
02/11/2020,-0.2,-0.14,-0.06,0.17,0.34
02/12/2020,-0.19,-0.12,-0.04,0.2,0.36
02/13/2020,-0.22,-0.15,-0.06,0.18,0.33
02/14/2020,-0.22,-0.16,-0.07,0.16,0.32
02/18/2020,-0.25,-0.19,-0.1,0.13,0.28
02/19/2020,-0.24,-0.17,-0.09,0.14,0.29
02/20/2020,-0.26,-0.19,-0.11,0.1,0.26
02/21/2020,-0.3,-0.24,-0.15,0.07,0.22
02/24/2020,-0.36,-0.3,-0.21,0.04,0.19
02/25/2020,-0.36,-0.29,-0.2,0.04,0.19
02/26/2020,-0.36,-0.3,-0.21,0.04,0.2
02/27/2020,-0.37,-0.31,-0.23,0.01,0.19
02/28/2020,-0.44,-0.37,-0.28,0.0,0.24
03/02/2020,-0.44,-0.39,-0.31,-0.09,0.11
03/03/2020,-0.57,-0.51,-0.43,-0.17,0.05
03/04/2020,-0.59,-0.53,-0.44,-0.18,0.04
03/05/2020,-0.61,-0.56,-0.48,-0.24,-0.01
03/06/2020,-0.56,-0.57,-0.57,-0.41,-0.22
03/09/2020,-0.34,-0.44,-0.45,-0.32,-0.2
03/10/2020,-0.14,-0.23,-0.24,-0.08,0.06
03/11/2020,-0.03,-0.13,-0.14,0.0,0.13
03/12/2020,0.03,-0.04,-0.04,0.14,0.3
03/13/2020,0.17,0.07,0.04,0.22,0.39
03/16/2020,0.19,0.04,0.0,0.17,0.31
03/17/2020,0.5,0.41,0.39,0.54,0.67
03/18/2020,0.63,0.56,0.55,0.66,0.75
03/19/2020,0.52,0.56,0.62,0.71,0.78
03/20/2020,0.21,0.17,0.17,0.26,0.34
03/23/2020,0.01,-0.03,-0.04,-0.02,-0.01
03/24/2020,-0.03,-0.11,-0.13,-0.09,-0.07
03/25/2020,-0.13,-0.18,-0.19,-0.09,0.0
03/26/2020,-0.21,-0.24,-0.24,-0.14,-0.05
03/27/2020,-0.13,-0.2,-0.22,-0.12,-0.03
03/30/2020,-0.18,-0.24,-0.25,-0.1,0.04
03/31/2020,-0.12,-0.16,-0.17,0.0,0.16
04/01/2020,-0.19,-0.27,-0.29,-0.1,0.07
04/02/2020,-0.34,-0.39,-0.4,-0.21,-0.03
04/03/2020,-0.39,-0.45,-0.46,-0.26,-0.08
04/06/2020,-0.41,-0.47,-0.47,-0.28,-0.09
04/07/2020,-0.38,-0.42,-0.42,-0.24,-0.06
04/08/2020,-0.4,-0.42,-0.42,-0.24,-0.04
04/09/2020,-0.49,-0.5,-0.5,-0.32,-0.12
04/13/2020,-0.5,-0.51,-0.5,-0.33,-0.13
