report_date,contract_code,contract_name,source_year,open_interest,producer_long,producer_short,swap_long,swap_short,managed_money_long,managed_money_short,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD,availability_time_utc
2015-01-06,088691,GOLD - COMMODITY EXCHANGE INC.,2015,394021,32669,92020,58869,122190,128325,34129,0.23906340017410241,,-0.15062902738686518,-0.16070463249420716,0.38969242756096756,2015-01-10 05:00:00+00:00
2015-01-13,088691,GOLD - COMMODITY EXCHANGE INC.,2015,402108,34607,99314,57011,129980,132173,30232,0.25351646821252,0.014453068038417588,-0.16091945447491718,-0.18146617326688352,0.41443592268743717,2015-01-17 05:00:00+00:00
2015-01-20,088691,GOLD - COMMODITY EXCHANGE INC.,2015,430128,29306,114948,56831,148999,155602,26261,0.30070351151285196,0.047187043300331966,-0.19910817245099133,-0.21428040025294795,0.49981168396384329,2015-01-24 05:00:00+00:00
2015-01-27,088691,GOLD - COMMODITY EXCHANGE INC.,2015,438279,24610,121126,49720,159364,173110,19873,0.34963345266371421,0.048929941150862244,-0.22021588987836516,-0.25016941263441778,0.56984934254207942,2015-01-31 05:00:00+00:00
2015-02-03,088691,GOLD - COMMODITY EXCHANGE INC.,2015,419524,27037,117623,52559,165246,167310,18984,0.35355784174445326,0.0039243890807390547,-0.21592566813817565,-0.26860680199464154,0.56948350988262897,2015-02-07 05:00:00+00:00
2015-02-10,088691,GOLD - COMMODITY EXCHANGE INC.,2015,393232,23007,101513,58748,150833,140835,21298,0.30398594214102614,-0.049571899603427116,-0.19964295886397851,-0.23417473654229565,0.50362890100500468,2015-02-14 05:00:00+00:00
2015-02-17,088691,GOLD - COMMODITY EXCHANGE INC.,2015,389530,22366,96511,63983,133473,128595,32903,0.24566015454522117,-0.058325787595804979,-0.19034477447179934,-0.17839447539342285,0.43600492901702048,2015-02-21 05:00:00+00:00
2015-02-24,088691,GOLD - COMMODITY EXCHANGE INC.,2015,399307,24350,95758,67813,132099,124595,35108,0.2241057632348043,-0.021554391310416865,-0.17882982266777192,-0.16099392196981269,0.40293558590257622,2015-02-28 05:00:00+00:00
2015-03-03,088691,GOLD - COMMODITY EXCHANGE INC.,2015,405124,23666,89987,71498,128564,115279,42320,0.18009054018029047,-0.04401522305451383,-0.16370543339816945,-0.14086057602116883,0.34379597357845992,2015-03-07 05:00:00+00:00
2015-03-10,088691,GOLD - COMMODITY EXCHANGE INC.,2015,410918,26168,78115,78066,115461,107032,58359,0.11844942299923586,-0.061641117181054611,-0.12641694936702699,-0.091003557887461728,0.24486637236626285,2015-03-14 04:00:00+00:00
2015-03-17,088691,GOLD - COMMODITY EXCHANGE INC.,2015,429738,30755,74063,76537,89719,97847,78623,0.044734233416639908,-0.073715189582595958,-0.1007776831464753,-0.030674504000111697,0.14551191656311521,2015-03-21 04:00:00+00:00
2015-03-24,088691,GOLD - COMMODITY EXCHANGE INC.,2015,433767,27523,72822,81595,89221,98784,87349,0.026362079180758332,-0.018372154235881576,-0.10443164187224939,-0.017580867147570008,0.13079372105300771,2015-03-28 04:00:00+00:00
2015-03-31,088691,GOLD - COMMODITY EXCHANGE INC.,2015,387585,25366,75694,70154,100941,103808,67752,0.093027335939213335,0.066665256758454999,-0.12985022640195054,-0.079432898589986714,0.22287756234116388,2015-04-04 04:00:00+00:00
2015-04-07,088691,GOLD - COMMODITY EXCHANGE INC.,2015,390571,24724,85642,62352,109723,112747,57072,0.14254770579484907,0.049520369855635737,-0.15597164151972367,-0.12128652664944402,0.29851934731457275,2015-04-11 04:00:00+00:00
